,size,Group,Verse text
1John 5:6,1,11-15,"Ježíš Kristus jest ten, který přišel skrze vodu a krev. Nejen s vodou, ale s vodou a s krví. A Duch je toho svědkem, poněvadž Duch je pravda. "
Matt 5:38,1,21+,"Slyšeli jste, že bylo řečeno: „Oko za oko, zub za zub.“"
Luke 18:13,1,21+,"Ale celník stoje zdaleka, nechtěl ani očí pozdvihnouti k nebi, nýbrž bil se v prsa svá a říkal: ,Bože, buď milostiv mně hříšnému.‘"
Matt 26:63,1,3-5,"Ale Ježíš mlčel. I řekl mu velekněz: „Zapřísahám tě skrze Boha živého, abys nám pověděl, jsi-li ty Kristus, Syn Boží?“"
Mark 13:25,1,3-5,a hvězdy budou padati s nebe a moci nebeské budou se pohybovati.
John 1:36,1,3-5,"A spatřiv Ježíše, an jde kolem, řekl: „Ejhle Beránek Boží.“"
Luke 4:4,1,11-15,"A odpověděl jemu Ježíš: Psáno-ť jest, že nesamým chlebem živ jest člověk, ale každým slovem Božím."
Matt 3:3/John 1:23/Mark 1:3/Luke 3:4/Isa 40:3,1,21+,"jakož psáno jest v knize řečí proroka Isaiáše: „Hlas volajícího na poušti: Připravte cestu Páně, přímé čiňte stezky jeho;"
John 1:1,1,21+,"Na počátku bylo Slovo, a to Slovo bylo u Boha, a to Slovo byl Bůh."
Matt 10:7,1,3-5,"Jdouce pak kažte, řkouce: že se přiblížilo Království Nebeské."
Rom 13:11,1,11-15,"A vědouce ten čas: že již hodina jest, abychom ze sna povstali. Neboť nyní bližší jest naše spasení, nežli když sme uvěřili."
Matt 28:20,1,21+,"Učíce je zachovávati všecko, což jsem koli přikázal vám. A aj, já s vámi jsem po všecky dny, až do skonání světa. Amen."
Matt 5:3,1,21+,"Blahoslavení chudí duchem, nebo jejich jest království nebeské."
Ps 23:4,1,6-10,"Byť mi se dostalo jíti přes údolí stínu smrti, nebuduť se báti zlého, nebo ty se mnou jsi; prut tvůj a hůl tvá, toť mne potěšuje."
John 16:33,1,11-15,"Tyto věci mluvil jsem vám, abyste ve mně pokoj měli. Na světě ssoužení míti budete, ale doufejtež, jáť jsem přemohl svět."
John 16:2,1,11-15,"Z náboženské obce své vyloučí vás, ano přichází hodina, že každý, kdo vás zabije, bude se domnívati, že tím Bohu slouží."
Matt 5:7,1,6-10,"Blahoslavení milosrdní, neboť oni milosrdenství dojdou."
Mark 2:11,1,6-10,"„Tobě pravím: ,Vstaň, vezmi lože své a jdi do domu svého.“"
Acts 19:6,1,6-10,"A když Pavel vložil na ně ruce, přišel na ně Duch svatý; i mluvili jazyky a prorokovali."
Matt 27:38,1,3-5,"Potom ukřižovali s ním dva lotry, jednoho na pravici, druhého na levici."
Prov 19:17,1,3-5,"Půjčuje Hospodinu, kdo se nad chudým smilovává; a on jemu (co půjčeno) zase vrátí."
John 10:16,1,21+,"Mám ještě jiné ovce, které nejsou z tohoto ovčince; i ty musím přivésti, a hlas můj slyšeti budou, a bude jeden ovčinec a jeden pastýř."
John 3:16,1,3-5,"Nebo tak Bůh miloval svět, že Syna svého jednorozeného dal, aby každý, kdož věří v něho, nezahynul, ale měl život věčný."
Luke 10:23,1,6-10,"A obrátiv se k učeníkům svým pravil: „Blahoslavené oči, které vidí, co vy vidíte."
Mark 11:10,1,6-10,"Požehnaný, jenž se béře ve jménu páně: Požehnané kteréž přišlo Království otce našeho Davida: Hosanna na výsostech."
Rev 7:9,1,3-5,"Potom sem viděl zástup veliký, kteréhož žádný přečísti nemohl, ze všech národů a pokolení, a lidí, i jazyků: ani stojí před trůnem, a před obličejem Beránka, souce oblečeni v bílá roucha: a palmy v rukou jejich:"
Luke 23:43,1,11-15,"I řekl mu Ježíš: Amen pravím tobě, dnes budeš semnou v Ráji."
Phil 2:10,1,3-5,"aby ve jménu Ježíše každé koleno klekalo Nebeských, Zemských, i Pekelních;"
Num 20:6,1,3-5,"Mojžíš a Áron nechavše lid, vešli do stánku úmluvy, padli na tvář až k zemi [a volali k Hospodinu: Hospodine, Bože, uslyš křik tohoto lidu a otevři jim poklad svůj, studnici vody živé, aby, když se napijí, přestali reptati]. Tu se nad nimi ukázala velebnost Hospodinova"
John 15:18,1,3-5,"Jestliže svět vás nenávidí, vězte, že mne nenáviděl prve nežli vás."
Exod 12:14,1,3-5,"Den tento bude vám dnem památným; bude vám svátkem na věky, který slaviti budete ve (všech) svých pokoleních."
Mark 5:41,1,3-5,"A vzav dívku za ruku, řekl jí: „Talítha, kúmi,“ to jest v překladě: „Dívko, (tobě pravím), vstaň.“"
Matt 5:16,1,6-10,"Tak svěť světlo vaše před lidmi, ať vidí skutky vaše dobré, a slaví Otce vašeho, kterýž jest v nebesích."
John 15:13,1,3-5,"Větší lásky nemá nikdo nad tu, aby kdo položil život svůj za své přátele."
Matt 2:2,1,3-5,"řkouce: „Kde jest ten novorozený král židovský? Neboť viděli jsme hvězdu jeho na východě, i přišli jsme poklonit se jemu.“"
Matt 2:11,1,11-15,"I vešedše do domu, nalezli dítko s Marií, matkou jeho, a padše, klaněli se jemu, a otevřevše poklady své, obětovali mu dary: zlato, kadidlo a myrrhu."
Rom 8:23,1,3-5,"A nejen ono, nýbrž i my, ač máme prvotiny Ducha, i my sami v sobě sténáme, očekávajíce synovství, (totiž) vykoupení těla svého. "
John 20:22,1,3-5,Po těch slovech na ně dechl a řekl jim: „Přijměte Ducha svatého!
Gen 2:18,1,3-5,Hospodin Bůh také řekl: Není dobře člověku býti sám; učiňme mu pomocnici podobnou jemu.
Luke 10:27,1,6-10,"On odpověděv, řekl: Milovati budeš Pána Boha svého, z celého srdce svého, a z celé duše své, a ze vší síly své, i ze vší mysli své: a bližního svého jako sebe samého."
Luke 21:6,1,21+,"„Přijdou dnové, ve kterých z toho, co vidíte, nezůstane kámen na kameni, který by nebyl rozbořen.“"
Matt 6:33,1,21+,"Ale hledejte nejprv království Božího a spravedlnosti jeho, a toto vše bude vám přidáno."
1Cor 15:54,1,6-10,"Když pak (toto porušitelné tělo obleče neporušítelnost a toto) smrtelné obleče nesmrtelnost, tehdá se naplní to slovo, které jest psáno: „Pohlcena jest smrt ve vítězství."
