,Source,Target,Value
0,Čech,1John 5:6,10
1,Čech,1Sam 16:19,1
2,Čech,Lev 22:20,1
3,Čech,Matt 5:38,10
4,Čech,Luke 18:13,21
5,Čech,Matt 26:63,4
6,Čech,Mark 13:25,2
7,Čech,Mark 13:32,1
8,Čech,John 1:27,1
9,Čech,John 1:36,3
10,Čech,Luke 4:4,3
11,Čech,Matt 3:3/John 1:23/Mark 1:3/Luke 3:4/Isa 40:3,20
12,Čech,John 1:1,7
13,Čech,Phil 4:7,2
14,Čech,Matt 10:7,3
15,Čech,Rom 13:11,4
16,Čech,Matt 28:20,15
17,Čech,Matt 5:3,10
18,Čech,Isa 55:8,1
19,Čech,Ps 23:4,2
20,Čech,Jas 1:3,1
21,Čech,John 16:33,13
22,Čech,John 16:2,12
23,Čech,John 3:17,1
24,Čech,Matt 5:7,5
25,Čech,Luke 5:26,1
26,Čech,Mark 2:11,8
27,Čech,Matt 23:23,1
28,Čech,Ezek 20:13,1
29,Čech,Gen 2:23,1
30,Čech,Acts 19:4,1
31,Čech,Acts 8:19,2
32,Čech,Acts 19:6,5
33,Čech,Matt 27:38,3
34,Čech,Prov 19:17,3
35,Čech,Amos 8:12,2
36,Čech,Jer 9:25,2
37,Čech,Acts 13:22,2
38,Čech,John 10:16,18
39,Čech,John 3:16,1
40,Čech,Luke 10:23,9
41,Čech,Mark 11:10,5
42,Čech,Rev 7:9,4
43,Čech,Luke 23:43,9
44,Čech,Phil 2:10,2
45,Čech,Num 20:6,3
46,Čech,Ps 118:19,1
47,Čech,Luke 9:22,1
48,Čech,Matt 17:3,1
49,Čech,Matt 17:4,1
50,Čech,1Sam 21:7,1
51,Čech,1Cor 11:27,1
52,Čech,Matt 20:23,1
53,Čech,John 15:18,2
54,Čech,Luke 5:23,2
55,Čech,Dan 14:37,2
56,Čech,1Cor 13:5,1
57,Čech,John 15:5,1
58,Čech,Exod 12:14,4
59,Čech,Mark 5:41,3
60,Čech,Acts 18:17,1
61,Čech,Matt 18:33,1
62,Čech,Matt 5:16,4
63,Čech,John 1:19,2
64,Čech,John 15:13,2
65,Čech,Num 24:17,1
66,Čech,Matt 2:2,5
67,Čech,Matt 2:8,2
68,Čech,Matt 2:11,7
69,Čech,Rom 8:23,4
70,Čech,Eph 4:5,2
71,Čech,Isa 65:17,1
72,Čech,2Pet 3:10,1
73,Čech,Luke 21:28,1
74,Čech,John 20:22,2
75,Čech,Gen 2:18,2
76,Čech,Luke 10:27,3
77,Čech,Luke 21:6,8
78,Čech,Jer 32:41,1
79,Čech,Matt 10:37,1
80,Čech,Matt 6:33,15
81,Čech,1Cor 15:54,1
82,Čech,1Cor 15:55,6
83,Čech,Neh 9:17,2
84,Čech,Luke 8:5,1
85,Čech,2Tim 2:9,1
86,Čech,2Tim 2:8,1
87,Čech,2Cor 11:23,3
88,Čech,Acts 2:2,4
89,Čech,Acts 2:4,2
90,Čech,Acts 26:25,1
91,Čech,Luke 12:49,1
92,Čech,Luke 1:35,2
93,Čech,Luke 23:34,14
94,Čech,Acts 7:60,1
95,Čech,Matt 10:16,1
96,Čech,2Cor 6:14,4
97,Čech,Matt 4:9,11
98,Čech,John 13:35,4
99,Čech,Exod 20:2/Deut 5:6,2
100,Čech,1John 5:7,3
101,Čech,Matt 22:39,12
102,Čech,John 13:34,1
103,Čech,Titus 1:2,2
104,Čech,Matt 25:43,2
105,Čech,John 10:11,18
106,Čech,Luke 15:19,1
107,Čech,Luke 2:14,53
108,Čech,Acts 9:4,6
109,Čech,1Kgs 12:4,3
110,Čech,2Chr 10:4,1
111,Čech,Gen 2:9,3
112,Čech,Exod 20:5,1
113,Čech,Joel 1:14,1
114,Čech,Acts 5:29,11
115,Čech,John 8:32,1
116,Čech,Sir 34:9,1
117,Čech,Matt 4:11,1
118,Čech,Matt 4:4,9
119,Čech,Matt 4:3,1
120,Čech,Luke 4:12,2
121,Čech,Matt 4:7,2
122,Čech,Gal 3:10,1
123,Čech,John 4:23,1
124,Čech,John 4:24,1
125,Čech,Luke 19:46,4
126,Čech,Luke 11:43,1
127,Čech,Eph 6:13,2
128,Čech,Eph 6:16,1
129,Čech,Ps 143:3,2
130,Čech,Ps 28:9,1
131,Čech,Matt 11:28,22
132,Čech,Luke 9:35,4
133,Čech,2Pet 1:17,16
134,Čech,Luke 6:38,1
135,Čech,Luke 18:10,3
136,Čech,Luke 18:11,6
137,Čech,Num 15:28,1
138,Čech,Matt 23:12,4
139,Čech,1Cor 9:27,1
140,Čech,Matt 6:12,6
141,Čech,Matt 6:11/Luke 11:3,14
142,Čech,Exod 20:15/Deut 5:19,16
143,Čech,Luke 18:31,5
144,Čech,Luke 18:34,3
145,Čech,Ps 127:1,9
146,Čech,Luke 14:23,2
147,Čech,Mark 16:16,7
148,Čech,Acts 13:44,1
149,Čech,1John 3:14,1
150,Čech,1John 3:15,2
151,Čech,Matt 6:23,1
152,Čech,Exod 20:12/Deut 5:16/Eph 6:2,10
153,Čech,John 1:14,8
154,Čech,Gen 3:19,12
155,Čech,Matt 22:21,7
156,Čech,Eccl 3:1,1
157,Čech,John 1:45,1
158,Čech,Matt 7:21,7
159,Čech,John 6:5,2
160,Čech,Mark 13:31/Matt 24:35/Luke 21:33,18
161,Čech,Prov 26:27,7
162,Čech,John 6:9,2
163,Čech,2Kgs 22:3,1
164,Čech,Jas 1:22,2
165,Čech,Matt 16:23,1
166,Čech,1Cor 15:33,1
167,Čech,Matt 27:25,34
168,Čech,Jer 42:12,1
169,Čech,Matt 16:24,7
170,Čech,Luke 13:7,2
171,Čech,Luke 13:6,2
172,Čech,Luke 13:8,1
173,Čech,Matt 13:29,2
174,Čech,Matt 13:24,4
175,Čech,Matt 13:30,4
176,Čech,Luke 9:55,4
177,Čech,John 6:48,3
178,Čech,John 8:12,14
179,Čech,John 11:25,12
180,Čech,Luke 11:23,3
181,Čech,Matt 12:30,9
182,Čech,Matt 10:34,2
183,Čech,Luke 12:51,1
184,Čech,Rom 13:14,1
185,Čech,2Cor 1:2/Phil 1:2/2Thess 1:2/1Cor 1:3/Eph 1:2/Gal 1:3,9
186,Čech,2Sam 18:33,1
187,Čech,Matt 8:25,7
188,Čech,Luke 8:10,1
189,Čech,John 6:56,3
190,Čech,Matt 16:18,39
191,Čech,Jer 26:21,1
192,Čech,Matt 18:6,2
193,Čech,Matt 23:34,1
