,size,Group,Verse text
1John 5:6,1,Nový zákon,"Ježíš Kristus jest ten, který přišel skrze vodu a krev. Nejen s vodou, ale s vodou a s krví. A Duch je toho svědkem, poněvadž Duch je pravda. "
1Sam 16:19,1,Starý zákon,"Poslal tedy Saul posly k Isajovi se vzkazem: „Pošli ke mně Davida, syna svého, který pase."""
Lev 22:20,1,Starý zákon,"Což by koli mělo na sobě vadu, nebudete toho obětovati; nebo nebude příjemné od vás."
Matt 5:38,1,Evangelia,"Slyšeli jste, že bylo řečeno: „Oko za oko, zub za zub.“"
Luke 18:13,1,Evangelia,"Ale celník stoje zdaleka, nechtěl ani očí pozdvihnouti k nebi, nýbrž bil se v prsa svá a říkal: ,Bože, buď milostiv mně hříšnému.‘"
Matt 26:63,1,Evangelia,"Ale Ježíš mlčel. I řekl mu velekněz: „Zapřísahám tě skrze Boha živého, abys nám pověděl, jsi-li ty Kristus, Syn Boží?“"
Mark 13:25,1,Evangelia,a hvězdy budou padati s nebe a moci nebeské budou se pohybovati.
Mark 13:32,1,Evangelia,"O tom dni však neb hodině neví nikdo, ani andělé v nebi ani Syn, leč (jedině) Otec."
John 1:27,1,Evangelia,"(jest to ten), jenž po mně přijíti má, (jenž přede mnou jest), jemuž já nejsem hoden rozvázati řeménky u obuvi jeho.“ -"
John 1:36,1,Evangelia,"A spatřiv Ježíše, an jde kolem, řekl: „Ejhle Beránek Boží.“"
Luke 4:4,1,Evangelia,"A odpověděl jemu Ježíš: Psáno-ť jest, že nesamým chlebem živ jest člověk, ale každým slovem Božím."
Luke 3:4,1,Evangelia,"jakož psáno jest v knize řečí proroka Isaiáše: „Hlas volajícího na poušti: Připravte cestu Páně, přímé čiňte stezky jeho;"
Matt 3:3/John 1:23/Mark 1:3/Isa 40:3,1,Evangelia,"„Hlas volajícího na poušti: ,Připravte cestu Páně, přímé čiňte stezky jeho.‘“"
John 1:1,1,Evangelia,"Na počátku bylo Slovo, a to Slovo bylo u Boha, a to Slovo byl Bůh."
Phil 4:7,1,Nový zákon,"A pokoj Boží, kterýž převyšuje všeliký smysl, ostříhej srdcí vaších i myslí vaších, v Kristu Ježíši."
Matt 10:7,1,Evangelia,"Jdouce pak kažte, řkouce: že se přiblížilo Království Nebeské."
Rom 13:11,1,Nový zákon,"A vědouce ten čas: že již hodina jest, abychom ze sna povstali. Neboť nyní bližší jest naše spasení, nežli když sme uvěřili."
Matt 28:20,1,Evangelia,"Učíce je zachovávati všecko, což jsem koli přikázal vám. A aj, já s vámi jsem po všecky dny, až do skonání světa. Amen."
Matt 5:3,1,Evangelia,"Blahoslavení chudí duchem, nebo jejich jest království nebeské."
Isa 55:8,1,Starý zákon,"Nejsouť myšlení má, myšlení vaše, ani cesty vaše, cesty mé – dí Pán."
Ps 23:4,1,Starý zákon,"Byť mi se dostalo jíti přes údolí stínu smrti, nebuduť se báti zlého, nebo ty se mnou jsi; prut tvůj a hůl tvá, toť mne potěšuje."
Jas 1:3,1,Nový zákon,"buďte jisti, že vaše víra, bude-li vytříbením osvědčena, způsobí vytrvalost. "
John 16:33,1,Evangelia,"Tyto věci mluvil jsem vám, abyste ve mně pokoj měli. Na světě ssoužení míti budete, ale doufejtež, jáť jsem přemohl svět."
John 16:2,1,Evangelia,"Z náboženské obce své vyloučí vás, ano přichází hodina, že každý, kdo vás zabije, bude se domnívati, že tím Bohu slouží."
John 3:17,1,Evangelia,"Vždyť Bůh neposlal Syna svého na svět, aby soudil svět, nýbrž aby spasen byl svět skrze něho."
Matt 5:7,1,Evangelia,"Blahoslavení milosrdní, neboť oni milosrdenství dojdou."
Luke 5:26,1,Evangelia,"Všech se zmocnil úžas a oni velebili Boha, byli naplněni strachem a říkali; „Dnes jsme uviděli neuvěřitelnou věc.“"
Mark 2:11,1,Evangelia,"„Tobě pravím: ,Vstaň, vezmi lože své a jdi do domu svého.“"
Matt 23:23,1,Evangelia,"Běda vám, pokrytečtí zákoníci a farizeové! Dáváte desátky z máty, z kopru a z kmínu, ale zanedbáváte důležitější předpisy zákona, totiž spravedlnost, milosrdenství a věrnost. Toto je nutno činiti, ale onoho nezanedbávati. -"
Ezek 20:13,1,Starý zákon,"Ale dům Israelův mne popouzel na poušti, v příkazech mých nechodil, zavrhli má ustanovení, skrze která živ bude člověk činící je; soboty mé poskvrnili náramně; proto řekl jsem, že vyleji hněv svůj na ně na poušti, že je zahladím docela."
Gen 2:23,1,Starý zákon,"I řekl Adam: Teď tato jest kost z kostí mých a tělo z těla mého; tato slouti bude mužatka, nebo z muže vzata jest."
Acts 19:4,1,Nový zákon,"I řekl Pavel: „Jan křtil křtem pokání, říkaje lidu, aby uvěřili v toho, jenž přijde po něm, to jest v Ježíše.“"
Acts 8:19,1,Nový zákon,"a řekl: „Dejte i mně tuto moc, aby ten, na koho složím ruce, přijal Ducha svatého.“"
Acts 19:6,1,Nový zákon,"A když Pavel vložil na ně ruce, přišel na ně Duch svatý; i mluvili jazyky a prorokovali."
Matt 27:38,1,Evangelia,"Potom ukřižovali s ním dva lotry, jednoho na pravici, druhého na levici."
Prov 19:17,1,Starý zákon,"Půjčuje Hospodinu, kdo se nad chudým smilovává; a on jemu (co půjčeno) zase vrátí."
Amos 8:12,1,Starý zákon,"Tak že toulati se budou od moře až k moři, a od půlnoci až na východ běhati, hledajíce slova Hospodinova, však nenajdou."
