,size,Group,Verse text
1John 5:6,1,Nový zákon,"Ježíš Kristus jest ten, který přišel skrze vodu a krev. Nejen s vodou, ale s vodou a s krví. A Duch je toho svědkem, poněvadž Duch je pravda. "
Matt 5:38,1,Evangelia,"Slyšeli jste, že bylo řečeno: „Oko za oko, zub za zub.“"
Luke 18:13,1,Evangelia,"Ale celník stoje zdaleka, nechtěl ani očí pozdvihnouti k nebi, nýbrž bil se v prsa svá a říkal: ,Bože, buď milostiv mně hříšnému.‘"
Matt 26:63,1,Evangelia,"Ale Ježíš mlčel. I řekl mu velekněz: „Zapřísahám tě skrze Boha živého, abys nám pověděl, jsi-li ty Kristus, Syn Boží?“"
John 1:36,1,Evangelia,"A spatřiv Ježíše, an jde kolem, řekl: „Ejhle Beránek Boží.“"
Luke 4:4,1,Evangelia,"A odpověděl jemu Ježíš: Psáno-ť jest, že nesamým chlebem živ jest člověk, ale každým slovem Božím."
Luke 3:4,1,Evangelia,"jakož psáno jest v knize řečí proroka Isaiáše: „Hlas volajícího na poušti: Připravte cestu Páně, přímé čiňte stezky jeho;"
Mark 1:3,1,Evangelia,"„Hlas volajícího na poušti: ,Připravte cestu Páně, přímé čiňte stezky jeho.‘“"
John 1:1,1,Evangelia,"Na počátku bylo Slovo, a to Slovo bylo u Boha, a to Slovo byl Bůh."
Matt 10:7,1,Evangelia,"Jdouce pak kažte, řkouce: že se přiblížilo Království Nebeské."
Rom 13:11,1,Nový zákon,"A vědouce ten čas: že již hodina jest, abychom ze sna povstali. Neboť nyní bližší jest naše spasení, nežli když sme uvěřili."
Matt 28:20,1,Evangelia,"Učíce je zachovávati všecko, což jsem koli přikázal vám. A aj, já s vámi jsem po všecky dny, až do skonání světa. Amen."
Matt 5:3,1,Evangelia,"Blahoslavení chudí duchem, nebo jejich jest království nebeské."
John 16:33,1,Evangelia,"Tyto věci mluvil jsem vám, abyste ve mně pokoj měli. Na světě ssoužení míti budete, ale doufejtež, jáť jsem přemohl svět."
John 16:2,1,Evangelia,"Z náboženské obce své vyloučí vás, ano přichází hodina, že každý, kdo vás zabije, bude se domnívati, že tím Bohu slouží."
Matt 5:7,1,Evangelia,"Blahoslavení milosrdní, neboť oni milosrdenství dojdou."
Mark 2:11,1,Evangelia,"„Tobě pravím: ,Vstaň, vezmi lože své a jdi do domu svého.“"
Acts 19:6,1,Nový zákon,"A když Pavel vložil na ně ruce, přišel na ně Duch svatý; i mluvili jazyky a prorokovali."
Matt 27:38,1,Evangelia,"Potom ukřižovali s ním dva lotry, jednoho na pravici, druhého na levici."
Prov 19:17,1,Starý zákon,"Půjčuje Hospodinu, kdo se nad chudým smilovává; a on jemu (co půjčeno) zase vrátí."
John 10:16,1,Evangelia,"Mám ještě jiné ovce, které nejsou z tohoto ovčince; i ty musím přivésti, a hlas můj slyšeti budou, a bude jeden ovčinec a jeden pastýř."
Luke 10:23,1,Evangelia,"A obrátiv se k učeníkům svým pravil: „Blahoslavené oči, které vidí, co vy vidíte."
Mark 11:10,1,Evangelia,"Požehnaný, jenž se béře ve jménu páně: Požehnané kteréž přišlo Království otce našeho Davida: Hosanna na výsostech."
Rev 7:9,1,Nový zákon,"Potom sem viděl zástup veliký, kteréhož žádný přečísti nemohl, ze všech národů a pokolení, a lidí, i jazyků: ani stojí před trůnem, a před obličejem Beránka, souce oblečeni v bílá roucha: a palmy v rukou jejich:"
Luke 23:43,1,Evangelia,"I řekl mu Ježíš: Amen pravím tobě, dnes budeš semnou v Ráji."
Num 20:6,1,Starý zákon,"Mojžíš a Áron nechavše lid, vešli do stánku úmluvy, padli na tvář až k zemi [a volali k Hospodinu: Hospodine, Bože, uslyš křik tohoto lidu a otevři jim poklad svůj, studnici vody živé, aby, když se napijí, přestali reptati]. Tu se nad nimi ukázala velebnost Hospodinova"
Exod 12:14,1,Starý zákon,"Den tento bude vám dnem památným; bude vám svátkem na věky, který slaviti budete ve (všech) svých pokoleních."
Mark 5:41,1,Evangelia,"A vzav dívku za ruku, řekl jí: „Talítha, kúmi,“ to jest v překladě: „Dívko, (tobě pravím), vstaň.“"
Matt 5:16,1,Evangelia,"Tak svěť světlo vaše před lidmi, ať vidí skutky vaše dobré, a slaví Otce vašeho, kterýž jest v nebesích."
Matt 2:2,1,Evangelia,"řkouce: „Kde jest ten novorozený král židovský? Neboť viděli jsme hvězdu jeho na východě, i přišli jsme poklonit se jemu.“"
Matt 2:11,1,Evangelia,"I vešedše do domu, nalezli dítko s Marií, matkou jeho, a padše, klaněli se jemu, a otevřevše poklady své, obětovali mu dary: zlato, kadidlo a myrrhu."
Rom 8:23,1,Nový zákon,"A nejen ono, nýbrž i my, ač máme prvotiny Ducha, i my sami v sobě sténáme, očekávajíce synovství, (totiž) vykoupení těla svého. "
Luke 10:27,1,Evangelia,"On odpověděv, řekl: Milovati budeš Pána Boha svého, z celého srdce svého, a z celé duše své, a ze vší síly své, i ze vší mysli své: a bližního svého jako sebe samého."
Luke 21:6,1,Evangelia,"„Přijdou dnové, ve kterých z toho, co vidíte, nezůstane kámen na kameni, který by nebyl rozbořen.“"
Matt 6:33,1,Evangelia,"Ale hledejte nejprv království Božího a spravedlnosti jeho, a toto vše bude vám přidáno."
1Cor 15:55,1,Nový zákon,"Kde jest, ó smrti, vítězství tvé? Kde jest, ó smrti, osten tvůj?“"
Exod 20:13/Deut 5:17,1,Desatero,Nezabiješ.
2Cor 11:23,1,Nový zákon,"Služebníky Kristovými jsou? Jako nesmyslný pravím: Já více. V prácech (jsem býval) přehojně, ve vězeních přehojně, v ranách nad míru, v nebezpečenství smrti častokrát."
Acts 2:2,1,Nový zákon,"Tu povstal náhle s nebe hukot, jako když táhne vítr silný, a naplnil dům, kde seděli;"
Luke 23:34,1,Evangelia,"Ježíš řekl: „Otče, odpusť jim, vždyť nevědí, co činí.“ Když si chtěli rozděliti mezi sebe jeho šaty, metali losy."
2Cor 6:14,1,Nový zákon,Netáhněte jha s nevěřícími. Nebo jaký jest spolek spravedlnosti s nepravostí? A jaké obcování světla s temnostmi?
Matt 4:9,1,Evangelia,"a řekl: „Toto všecko tobě dám, jestliže padna, budeš se mi klaněti.“"
John 13:35,1,Evangelia,"Po tom poznají všichni, že jste učeníci moji, budete-li míti lásku jedni k druhým.“"
1John 5:7,1,Nový zákon,"Jsou zajisté tři, kteří vydávají svědectví na nebi, Otec, Slovo a Duch svatý; a tito tři jedno jsou;"
Matt 22:39,1,Evangelia,Druhé pak jest podobné tomu: Milovati budeš bližního svého jako sebe samého.
John 10:11,1,Evangelia,Jáť jsem Pastýř dobrý. Dobry Pastýř duši svou dává za ovce své.
Luke 2:14,1,Evangelia,"Sláva na výsostech Bohu, a na zemi pokoj, lidem dobrá vůle."
Acts 9:4,1,Nový zákon,"a on pad na zem uslyšel hlas, an k němu praví: „Šavle, Šavle, proč mě pronásleduješ?“"
1Kgs 12:4,1,Starý zákon,"Otec tvůj ztížil jho naše; protož nyní polehč služby otce svého tvrdé a břemena jeho těžkého, kteréž vzložil na nás, a budeme tobě sloužiti."
Gen 2:9,1,Starý zákon,"A vyvedl Hospodin Bůh z země všeliký strom na pohledění libý, a ovoce k jídlu chutné; též strom života u prostřed ráje, i strom vědění dobrého a zlého."
Acts 5:29,1,Nový zákon,Petr a apoštolově odpověděli: „Více sluší poslouchati Boha než lidí.
Matt 4:4,1,Evangelia,Kterýž odpovídaje řekl: Psáno-ť jest: Ne samým chlebem živ jest člověk: ale každým slovem kteréž vychází z ust Božích.
Luke 19:46,1,Evangelia,"řka jim: „Psáno jest: Dům můj jest dům modlitby, vy však jste jej učinili peleší lotrovskou.“"
Matt 11:28,1,Evangelia,"„Pojďte ke mně všichni, kteří těžce pracujete a jste přetíženi, a já vám dám odpočinek."
Luke 9:35,1,Evangelia,"A hlas přišel z oblaku řkoucí: „Tento jest Syn můj milý, toho poslouchejte.“"
2Pet 1:17,1,Nový zákon,"Obdržel zajisté od Boha Otce čest i slávu, když se stal k němu takovýto hlas od velikolepé slávy: „Tento jest Syn můj milý, v němž jsem si zalíbil. (Jeho poslouchejte.“)"
Luke 18:10,1,Evangelia,"„Dva lidé vstoupili do chrámu, aby se modlili, jeden fariseus a druhý celník."
Luke 18:11,1,Evangelia,"Fariseus postaviv se modlil se sám u sebe takto: ,Bože, děkuji tobě, že nejsem jako jiní lidé, lupiči, nespravedliví, cizoložnici, aneb jako i tento celník."
Matt 23:12,1,Evangelia,"Kdo se povyšuje, bývá ponížen, kdo se ponižuje, bývá povýšen."
Matt 6:12,1,Evangelia,"A odpusť nám naše viny, jakož i my odpouštíme naším viníkům."
Matt 6:11/Luke 11:3,1,Evangelia,Chléb náš vezdejší dej nám dnes.
Exod 20:15/Deut 5:19,1,Desatero,Nepokradeš.
Luke 18:31,1,Evangelia,"Potom Ježíš pojav k sobě dvanácte, řekl jim: „Hle vstupujeme do Jerusalema, a dokoná se tam všecko, co psáno jest skrze proroky o Synu člověka;"
Luke 18:34,1,Evangelia,"A oni tomu nic nesrozuměli, a bylo slovo to skryto před nimi, a nesrozuměli, co se pravilo."
Ps 127:1,1,Starý zákon,"Píseň stupňů, Šalomounova. Nebude-li Hospodin stavěti domu, nadarmo usilují ti, kteříž stavějí jej; nebude-li Hospodin ostříhati města, nadarmo bdí strážný."
Mark 16:16,1,Evangelia,"Kdo uvěří a bude pokřtěn, bude spasen; kdo neuvěří, bude odsouzen."
Eph 6:2,1,Nový zákon,"„Cti otce svého i matku svou“, to jest první přikázání se zaslíbením,"
John 1:14,1,Evangelia,"A Slovo Tělem učiněno jest, a přebývalo mezi námi: a viděli sme slávu jeho, slávu jakožto jednorozeného od Otce, plného milosti a pravdy."
Gen 3:19,1,Starý zákon,"V potu tváře jísti budeš chléb, dokud se nevrátíš do země, ze které jsi vzat. Ano, prach jsi, a v prach se navrátíš."
Matt 22:21,1,Evangelia,"Řkou jemu: „Císařův.“ Tu řekl jim: „Dávejte tedy, co jest císařovo, císaři, a co jest Božího, Bohu.“"
Matt 7:21,1,Evangelia,"Ne každý, kdož mi říká: Pane, Pane, vejde do království nebeského, ale ten, kdož činí vůli Otce mého, kterýž v nebesích jest."
Rom 9:30,1,Nový zákon,"Co z toho plyne? Že se pohanům, ač neusilovali o spravedlnost, dostalo spravedlnosti, spravedlnosti z víry,"
Prov 26:27,1,Starý zákon,"Kdo (jinému) jámu kopá, (sám) do ní padá, a kdo valí kámen, bude ním zavalen."
Matt 27:25,1,Evangelia,"A odpověděv všecken lid, řekl: Krev jeho na nás, i na naše syny."
Matt 16:24,1,Evangelia,"Tehdy řekl Ježíš učedlníkům svým: Chce-li kdo za mnou přijíti, zapřiž sebe sám, a vezmi kříž svůj, a následúj mne."
Matt 13:24,1,Evangelia,"Jiné podobenství předložil jim řka: „Podobné jest království nebeské člověku, který nasel dobrého semene na poli svém;"
Matt 13:30,1,Evangelia,"Nechte ať obé spolu roste až do žně. A v čas žně dím žencům: Vytrhejte nejprv koukol a svažte jej v snopky k spálení, ale pšenici shromažďte do stodoly mé."
Luke 9:55,1,Evangelia,"Ale on obrátiv se, pokáral je řka: „Nevíte, čího ducha jste."
John 6:48,1,Evangelia,Jáť jsem Chléb života.
John 8:12,1,Evangelia,"Tu Ježíš mluvil k nim opět řka: „Já jsem světlo světa; kdo mě následuje, nebude choditi ve tmě, nýbrž bude míti světlo života.“"
