,Source,Target,Value
0,Čech,1John 5:6,10
1,Čech,1Sam 16:19,1
2,Čech,Lev 22:20,1
3,Čech,Matt 5:38,10
4,Čech,Luke 18:13,21
5,Čech,Matt 26:63,4
6,Čech,Mark 13:25,2
7,Čech,Mark 13:32,1
8,Čech,John 1:27,1
9,Čech,John 1:36,3
10,Čech,Luke 4:4,3
11,Čech,Luke 3:4,11
12,Čech,Mark 1:3,20
13,Čech,John 1:1,7
14,Čech,Phil 4:7,2
15,Čech,Matt 10:7,3
16,Čech,Rom 13:11,4
17,Čech,Matt 28:20,15
18,Čech,Matt 5:3,10
19,Čech,Isa 55:8,1
20,Čech,Ps 23:4,2
21,Čech,Jas 1:3,1
22,Čech,John 16:33,13
23,Čech,John 16:2,12
24,Čech,John 3:17,1
25,Čech,Matt 5:7,5
26,Čech,Luke 5:26,1
27,Čech,Mark 2:11,8
28,Čech,Matt 23:23,1
29,Čech,Ezek 20:13,1
30,Čech,Gen 2:23,1
31,Čech,Acts 19:4,1
32,Čech,Acts 8:19,2
33,Čech,Acts 19:6,5
34,Čech,Matt 27:38,3
35,Čech,Prov 19:17,3
36,Čech,Amos 8:12,2
37,Čech,Jer 9:25,2
38,Čech,Acts 13:22,2
39,Čech,John 10:16,18
40,Čech,John 3:16,1
41,Čech,Luke 10:23,9
42,Čech,Mark 11:10,5
43,Čech,Rev 7:9,4
44,Čech,Luke 23:43,9
45,Čech,Phil 2:10,2
46,Čech,Num 20:6,3
47,Čech,Ps 118:19,1
48,Čech,Luke 9:22,1
49,Čech,Matt 17:3,1
50,Čech,Matt 17:4,1
51,Čech,1Sam 21:7,1
52,Čech,1Cor 11:27,1
53,Čech,Matt 20:23,1
54,Čech,John 15:18,2
55,Čech,Luke 5:23,2
56,Čech,Dan 14:37,2
57,Čech,1Cor 13:5,1
58,Čech,John 15:5,1
59,Čech,Exod 12:14,4
60,Čech,Mark 5:41,3
61,Čech,Acts 18:17,1
62,Čech,Matt 18:33,1
63,Čech,Matt 5:16,4
64,Čech,John 1:19,2
65,Čech,John 15:13,2
66,Čech,Num 24:17,1
67,Čech,Matt 2:2,5
68,Čech,Matt 2:8,2
69,Čech,Matt 2:11,7
70,Čech,Rom 8:23,4
71,Čech,Eph 4:5,2
72,Čech,Isa 65:17,1
73,Čech,2Pet 3:10,1
74,Čech,Luke 21:28,1
75,Čech,John 20:22,2
76,Čech,Gen 2:18,2
77,Čech,Luke 10:27,3
78,Čech,Luke 21:6,8
79,Čech,Jer 32:41,1
80,Čech,Matt 10:37,1
81,Čech,Matt 6:33,15
82,Čech,1Cor 15:54,1
83,Čech,1Cor 15:55,6
84,Čech,Neh 9:17,2
85,Čech,Exod 20:13/Deut 5:17,36
86,Čech,Luke 8:5,1
87,Čech,2Tim 2:9,1
88,Čech,2Tim 2:8,1
89,Čech,2Cor 11:23,3
90,Čech,Acts 2:2,4
91,Čech,Acts 2:4,2
92,Čech,Acts 26:25,1
93,Čech,Luke 12:49,1
94,Čech,Luke 1:35,2
95,Čech,Luke 23:34,14
96,Čech,Acts 7:60,1
97,Čech,Matt 10:16,1
98,Čech,2Cor 6:14,4
99,Čech,Matt 4:9,11
100,Čech,John 13:35,4
101,Čech,Exod 20:2/Deut 5:6,2
102,Čech,1John 5:7,3
103,Čech,Matt 22:39,12
104,Čech,John 13:34,1
105,Čech,Titus 1:2,2
106,Čech,Matt 25:43,2
107,Čech,John 10:11,18
108,Čech,Luke 15:19,1
109,Čech,Luke 2:14,53
110,Čech,Acts 9:4,6
111,Čech,1Kgs 12:4,3
112,Čech,2Chr 10:4,1
113,Čech,Gen 2:9,3
114,Čech,Exod 20:5,1
115,Čech,Joel 1:14,1
116,Čech,Acts 5:29,11
117,Čech,John 8:32,1
118,Čech,Sir 34:9,1
119,Čech,Matt 4:11,1
120,Čech,Matt 4:4,9
121,Čech,Matt 4:3,1
122,Čech,Luke 4:12,2
123,Čech,Matt 4:7,2
124,Čech,Gal 3:10,1
125,Čech,John 4:23,1
126,Čech,John 4:24,1
127,Čech,Luke 19:46,4
128,Čech,Luke 11:43,1
129,Čech,Eph 6:13,2
130,Čech,Eph 6:16,1
131,Čech,Ps 143:3,2
132,Čech,Ps 28:9,1
133,Čech,Matt 11:28,22
134,Čech,Luke 9:35,4
135,Čech,2Pet 1:17,16
136,Čech,Luke 6:38,1
137,Čech,Luke 18:10,3
138,Čech,Luke 18:11,6
139,Čech,Num 15:28,1
140,Čech,Matt 23:12,4
141,Čech,1Cor 9:27,1
142,Čech,Matt 6:12,6
143,Čech,Matt 6:11/Luke 11:3,14
144,Čech,Exod 20:15/Deut 5:19,16
145,Čech,Luke 18:31,5
146,Čech,Luke 18:34,3
147,Čech,Ps 127:1,9
148,Čech,Luke 14:23,2
149,Čech,Mark 16:16,7
150,Čech,Acts 13:44,1
151,Čech,1John 3:14,1
152,Čech,1John 3:15,2
153,Čech,Matt 6:23,1
154,Čech,Eph 6:2,11
155,Čech,John 1:14,8
156,Čech,Gen 3:19,12
157,Čech,Matt 22:21,7
158,Čech,Eccl 3:1,1
159,Čech,John 1:45,1
160,Čech,Matt 7:21,7
161,Čech,Rom 9:30,12
162,Čech,John 6:5,2
163,Čech,Prov 26:27,7
164,Čech,John 6:9,2
165,Čech,2Kgs 22:3,1
166,Čech,Jas 1:22,2
167,Čech,Matt 16:23,1
168,Čech,1Cor 15:33,1
169,Čech,Matt 27:25,34
170,Čech,Jer 42:12,1
171,Čech,Matt 16:24,7
172,Čech,Luke 13:7,2
173,Čech,Luke 13:6,2
174,Čech,Luke 13:8,1
175,Čech,Matt 13:29,2
176,Čech,Matt 13:24,4
177,Čech,Matt 13:30,4
178,Čech,Luke 9:55,4
179,Čech,John 6:48,3
180,Čech,John 8:12,14
181,Čech,John 11:25,12
182,Čech,Luke 11:23,3
183,Čech,Matt 12:30,9
184,Čech,Matt 10:34,2
185,Čech,Luke 12:51,1
186,Čech,Rom 13:14,1
187,Čech,2Sam 18:33,1
188,Čech,Matt 8:25,7
189,Čech,Luke 8:10,1
190,Čech,John 6:56,3
191,Čech,Matt 16:18,39
192,Čech,Jer 26:21,1
193,Čech,Matt 18:6,2
194,Čech,Matt 23:34,1
195,Čech,Matt 23:37,2
196,Čech,1Cor 11:22,1
197,Čech,John 20:23,3
198,Čech,John 20:21,2
199,Čech,John 20:31,1
