,year,Matt 5:38,Luke 3:4,Mark 1:3,Luke 2:14,Matt 11:28,Matt 27:25,Matt 16:18,Luke 18:42,Luke 20:25,Matt 20:16
0,1930,7,3,6,12,1,0,3,1,4,2
1,1933,13,3,4,11,2,1,2,2,1,6
2,1931,7,5,8,8,4,7,6,1,5,4
3,1928,5,3,6,8,11,8,2,2,5,2
4,1929,8,2,4,4,2,2,3,5,1,1
5,1925,2,2,4,7,1,4,16,8,6,5
6,1926,7,8,8,10,6,4,7,1,4,4
7,1932,7,1,1,9,1,2,1,4,0,4
8,1927,5,8,11,11,4,5,4,6,3,3
9,1934,2,0,0,4,2,1,0,1,2,6
10,1938,5,0,0,2,1,0,0,1,2,0
11,1936,1,0,1,1,0,0,2,0,1,2
12,1937,4,0,1,5,2,1,2,1,2,2
13,1939,2,3,3,3,2,0,0,2,4,2
14,1935,5,3,3,2,1,0,1,0,2,3
