,Source,Target,Value
0,Čech,1John 5:6,10
2,Čech,Lev 22:20,1
3,Čech,Matt 5:38,10
4,Čech,Luke 18:13,21
5,Čech,Matt 26:63,4
6,Čech,Mark 13:25,2
8,Čech,John 1:27,1
10,Čech,Luke 4:4,3
11,Čech,Matt 3:3/John 1:23/Mark 1:3/Luke 3:4/Isa 40:3,20
12,Čech,John 1:1,7
15,Čech,Rom 13:11,4
16,Čech,Matt 28:20,15
17,Čech,Matt 5:3,10
19,Čech,Ps 23:4,2
21,Čech,John 16:33,13
22,Čech,John 16:2,12
24,Čech,Matt 5:7,5
26,Čech,Mark 2:11,8
27,Čech,Matt 23:23,1
32,Čech,Acts 19:6,5
33,Čech,Matt 27:38,3
34,Čech,Prov 19:17,3
38,Čech,John 10:16,18
39,Čech,John 3:16,1
41,Čech,Mark 11:10,5
43,Čech,Luke 23:43,9
44,Čech,Phil 2:10,2
45,Čech,Num 20:6,3
53,Čech,John 15:18,2
56,Čech,1Cor 13:5,1
57,Čech,John 15:5,1
62,Čech,Matt 5:16,4
64,Čech,John 15:13,2
68,Čech,Matt 2:11,7
72,Čech,2Pet 3:10,1
73,Čech,Luke 21:28,1
74,Čech,John 20:22,2
75,Čech,Gen 2:18,2
76,Čech,Luke 10:27,3
77,Čech,Luke 21:6,8
80,Čech,Matt 6:33,15
81,Čech,1Cor 15:54,1
82,Čech,1Cor 15:55,6
83,Čech,Neh 9:17,2
84,Čech,Luke 8:5,1
86,Čech,2Tim 2:8,1
88,Čech,Acts 2:2,4
89,Čech,Acts 2:4,2
91,Čech,Luke 12:49,1
92,Čech,Luke 1:35,2
93,Čech,Luke 23:34,14
95,Čech,Matt 10:16,1
97,Čech,Matt 4:9,11
98,Čech,John 13:35,4
100,Čech,1John 5:7,3
101,Čech,Matt 22:39,12
102,Čech,John 13:34,1
103,Čech,Titus 1:2,2
105,Čech,John 10:11,18
107,Čech,Luke 2:14,53
108,Čech,Acts 9:4,6
111,Čech,Gen 2:9,3
112,Čech,Exod 20:5,1
114,Čech,Acts 5:29,11
115,Čech,John 8:32,1
117,Čech,Matt 4:11,1
118,Čech,Matt 4:4,9
119,Čech,Matt 4:3,1
120,Čech,Luke 4:12,2
121,Čech,Matt 4:7,2
123,Čech,John 4:23,1
124,Čech,John 4:24,1
125,Čech,Luke 19:46,4
129,Čech,Ps 143:3,2
131,Čech,Matt 11:28,22
133,Čech,2Pet 1:17,16
134,Čech,Luke 6:38,1
136,Čech,Luke 18:11,6
137,Čech,Num 15:28,1
138,Čech,Matt 23:12,4
140,Čech,Matt 6:12,6
141,Čech,Matt 6:11/Luke 11:3,14
142,Čech,Exod 20:15/Deut 5:19,16
145,Čech,Ps 127:1,9
147,Čech,Mark 16:16,7
148,Čech,Acts 13:44,1
152,Čech,Exod 20:12/Deut 5:16/Eph 6:2,10
153,Čech,John 1:14,8
154,Čech,Gen 3:19,12
155,Čech,Matt 22:21,7
156,Čech,Eccl 3:1,1
158,Čech,Matt 7:21,7
160,Čech,Mark 13:31/Matt 24:35/Luke 21:33,18
161,Čech,Prov 26:27,7
162,Čech,John 6:9,2
167,Čech,Matt 27:25,34
169,Čech,Matt 16:24,7
170,Čech,Luke 13:7,2
171,Čech,Luke 13:6,2
172,Čech,Luke 13:8,1
173,Čech,Matt 13:29,2
175,Čech,Matt 13:30,4
178,Čech,John 8:12,14
179,Čech,John 11:25,12
180,Čech,Luke 11:23,3
181,Čech,Matt 12:30,9
182,Čech,Matt 10:34,2
184,Čech,Rom 13:14,1
185,Čech,2Cor 1:2/Phil 1:2/2Thess 1:2/1Cor 1:3/Eph 1:2/Gal 1:3,9
187,Čech,Matt 8:25,7
