,Source,Target,Value
0,Čech,1John 5:6,10
1,Čech,Matt 5:38,10
5,Čech,Luke 4:4,3
6,Čech,Luke 3:4,11
7,Čech,Mark 1:3,20
8,Čech,John 1:1,7
10,Čech,Rom 13:11,4
11,Čech,Matt 28:20,15
12,Čech,Matt 5:3,10
15,Čech,Matt 5:7,5
20,Čech,John 10:16,18
32,Čech,Luke 10:27,3
33,Čech,Luke 21:6,8
34,Čech,Matt 6:33,15
35,Čech,1Cor 15:55,6
36,Čech,Exod 20:13/Deut 5:17,36
39,Čech,Luke 23:34,14
44,Čech,Matt 22:39,12
45,Čech,John 10:11,18
46,Čech,Luke 2:14,53
51,Čech,Matt 4:4,9
53,Čech,Matt 11:28,22
59,Čech,Matt 6:12,6
60,Čech,Matt 6:11/Luke 11:3,14
61,Čech,Exod 20:15/Deut 5:19,16
66,Čech,Eph 6:2,11
67,Čech,John 1:14,8
68,Čech,Gen 3:19,12
69,Čech,Matt 22:21,7
70,Čech,Matt 7:21,7
71,Čech,Rom 9:30,12
72,Čech,Prov 26:27,7
74,Čech,Matt 16:24,7
80,Čech,John 11:25,12
83,Čech,Matt 8:25,7
85,Čech,Matt 16:18,39
89,Čech,Matt 6:9,4
92,Čech,2Cor 1:2/Phil 1:2/2Thess 1:2/1Cor 1:3/Eph 1:2/Gal 1:3,6
93,Čech,Rev 14:13,4
103,Čech,Matt 11:29,12
106,Čech,John 1:29,7
107,Čech,Mark 15:34,5
108,Čech,Matt 27:46,5
109,Čech,Matt 18:7,4
112,Čech,1Cor 15:20,7
114,Čech,Matt 12:45,4
115,Čech,Matt 6:10,18
122,Čech,1Pet 3:18,3
123,Čech,Rom 4:21,3
129,Čech,Mark 10:9,3
130,Čech,Gen 3:5,4
131,Čech,John 14:6,23
141,Čech,John 3:15,9
145,Čech,Matt 6:13,4
148,Čech,John 8:46,5
152,Čech,Mark 10:48,5
153,Čech,Matt 19:19,9
154,Čech,Exod 20:14/Deut 5:18,5
155,Čech,Luke 18:42,5
167,Čech,Luke 2:10,10
169,Čech,Matt 10:33,7
170,Čech,Matt 23:9,6
171,Čech,Luke 20:25,21
172,Čech,Mark 13:31/Matt 24:35/Luke 21:33,11
173,Čech,Matt 20:16,5
176,Čech,Luke 6:27,3
181,Čech,Matt 16:16,6
182,Čech,Ps 117:26,5
185,Čech,Matt 19:18,5
188,Čech,Ps 118:24,4
194,Čech,Isa 45:8,5
196,Čech,Matt 25:21,5
197,Čech,Matt 25:23,5
204,Čech,Matt 12:7,4
206,Čech,Job 19:21,3
207,Čech,Matt 5:8,6
211,Čech,2Tim 4:7,4
219,Čech,John 10:30,6
228,Čech,Dan 4:28,4
243,Čech,Luke 2:11,5
246,Čech,Mark 14:38,3
251,Čech,Matt 5:20,13
260,Čech,Matt 11:5,3
265,Čech,Luke 18:20,3
277,Československý zemědělec,Matt 20:16,3
278,Československý zemědělec,Matt 6:11/Luke 11:3,5
279,Československý zemědělec,Exod 20:13/Deut 5:17,7
280,Český učitel,Luke 6:27,4
283,Český učitel,Luke 18:42,3
284,Český učitel,Luke 20:25,3
285,Český učitel,Luke 18:20,13
286,Český učitel,Matt 19:18,15
287,Český učitel,Exod 20:13/Deut 5:17,15
289,Český učitel,Rom 9:30,8
290,Český učitel,Luke 10:27,3
291,Moravský večerník,Luke 3:4,8
292,Moravský večerník,Mark 1:3,10
293,Moravský večerník,Exod 20:15/Deut 5:19,5
294,Moravský večerník,Eph 6:2,8
295,Moravský večerník,Mark 15:34,4
296,Moravský večerník,Exod 20:13/Deut 5:17,38
297,Moravský večerník,Rom 9:30,11
298,Moravský večerník,Luke 18:42,7
299,Moravský večerník,Matt 6:11/Luke 11:3,3
300,Moravský večerník,Matt 6:12,5
301,Moravský večerník,Prov 26:27,11
302,Moravský večerník,Luke 21:6,5
304,Moravský večerník,Matt 5:38,11
305,Moravský večerník,Luke 2:14,6
306,Moravský večerník,Matt 12:45,3
309,Moravský večerník,Exod 20:14/Deut 5:18,3
311,Moravský večerník,Matt 20:16,7
312,Moravský večerník,Luke 2:10,3
313,Moravský večerník,Matt 4:4,5
314,Moravský večerník,Luke 4:4,3
315,Moravský večerník,Matt 7:21,3
316,Moravský večerník,Matt 19:19,3
317,Moravský večerník,Luke 11:24,3
318,Polední list,Matt 6:12,3
319,Polední list,Exod 20:13/Deut 5:17,19
320,Polední list,Matt 5:38,8
321,Polední list,2Chr 19:11,4
322,Polední list,Mark 14:62,3
323,Polední list,Rom 9:30,3
325,Posel záhrobní,Exod 20:13/Deut 5:17,14
326,Posel záhrobní,Matt 11:28,7
328,Posel záhrobní,John 10:30,9
329,Posel záhrobní,Luke 6:27,4
331,Posel záhrobní,John 18:7,3
332,Posel záhrobní,Dan 4:28,5
333,Posel záhrobní,Matt 22:39,6
334,Posel záhrobní,John 10:16,3
336,Posel záhrobní,Matt 7:21,5
337,Posel záhrobní,Luke 18:42,5
338,Posel záhrobní,John 1:1,4
339,Posel záhrobní,Mark 13:31/Matt 24:35/Luke 21:33,3
340,Posel záhrobní,Matt 12:7,3
341,Posel záhrobní,Matt 6:33,4
342,Posel záhrobní,Matt 5:38,3
344,Posel záhrobní,Luke 2:14,4
345,Přítomnost,Exod 20:15/Deut 5:19,6
346,Přítomnost,Exod 20:13/Deut 5:17,39
347,Přítomnost,Matt 19:19,4
348,Přítomnost,Rom 9:30,5
349,Přítomnost,Luke 3:4,7
350,Přítomnost,Mark 1:3,7
351,Přítomnost,Matt 6:11/Luke 11:3,3
352,Přítomnost,Eph 6:2,3
353,Přítomnost,Luke 18:20,3
354,Přítomnost,Matt 22:39,3
355,Přítomnost,Exod 20:14/Deut 5:18,3
356,Přítomnost,Matt 5:38,10
357,Přítomnost,Luke 21:6,3
358,Přítomnost,John 1:1,8
359,Přítomnost,Matt 5:3,5
361,Přítomnost,Matt 6:33,4
363,Přítomnost,Matt 12:45,6
364,Přítomnost,1Tim 6:11,4
368,Přítomnost,Luke 20:25,4
369,Přítomnost,Prov 26:27,4
370,Přítomnost,Matt 11:5,8
371,Přítomnost,Heb 5:9,3
372,Studentský časopis,Exod 20:13/Deut 5:17,18
373,Studentský časopis,Matt 5:38,5
375,Venkov,Matt 20:16,25
376,Venkov,2Chr 19:11,28
377,Venkov,Matt 6:11/Luke 11:3,23
378,Venkov,Mark 15:34,4
379,Venkov,Matt 27:46,10
381,Venkov,Luke 2:10,5
383,Venkov,Luke 3:4,9
384,Venkov,Mark 1:3,11
386,Venkov,Luke 2:14,12
387,Venkov,Heb 5:9,10
388,Venkov,Exod 20:13/Deut 5:17,142
389,Venkov,Matt 22:39,6
390,Venkov,Exod 20:15/Deut 5:19,9
391,Venkov,Rom 4:21,5
392,Venkov,2Tim 4:7,11
394,Venkov,Luke 18:42,12
396,Venkov,Gen 3:19,4
399,Venkov,Matt 19:19,3
401,Venkov,Matt 6:13,11
402,Venkov,1John 5:6,4
403,Venkov,Matt 19:18,5
405,Venkov,Matt 5:38,31
408,Venkov,Rom 9:30,53
415,Venkov,Matt 12:45,11
419,Venkov,Matt 5:3,5
420,Venkov,Eph 6:2,10
427,Venkov,1Tim 6:11,4
428,Venkov,Prov 26:27,9
430,Venkov,Luke 4:4,4
432,Venkov,Matt 18:7,3
433,Venkov,Isa 45:8,4
434,Venkov,John 11:25,5
436,Venkov,Luke 23:34,5
438,Venkov,Matt 7:21,7
