,verse,citation count,verse texts,filter row
0,1John 5:6,15,"['Ježíš Kristus jest ten, který přišel skrze vodu a krev. Nejen s vodou, ale s vodou a s krví. A Duch je toho svědkem, poněvadž Duch je pravda. ', 'tenť jest kterýž přišel skrze vodu a krev, Ježíš Kristus: ne v vodě toliko, ale v vodě a krvi. A Duch jest, kterýž svědectví vydává, že Kristus jest pravda.']",low
1,1Sam 16:19,1,"['Poslal tedy Saul posly k Isajovi se vzkazem: „Pošli ke mně Davida, syna svého, který pase.""']",low
2,Lev 22:20,2,"['Což by koli mělo na sobě vadu, nebudete toho obětovati; nebo nebude příjemné od vás.']",low
3,Matt 5:38,80,"['Slyšeli jste, že bylo řečeno: „Oko za oko, zub za zub.“', 'Slyšeli jste, že říkáno bylo: Oko za oko, a zub za zub.', 'Slyšeli ste, že řečeno bylo: Oko za oko, a zub za zub;']",top 10
4,Luke 18:13,22,"['Ale celník stoje zdaleka, nechtěl ani očí pozdvihnouti k nebi, nýbrž bil se v prsa svá a říkal: ,Bože, buď milostiv mně hříšnému.‘', 'Celník však stál opodál a nechtěl ani pozdvihnouti očí k nebi, ale bil se v prsa řka: »Bože, smiluj se nade mnou hříšným!«']",low
5,Matt 26:63,5,"['Ale Ježíš mlčel. I řekl mu velekněz: „Zapřísahám tě skrze Boha živého, abys nám pověděl, jsi-li ty Kristus, Syn Boží?“', 'Ježíš však mlčel. Velekněz mu řekl: „Zapřísahám tě při živém Bohu: řekni mi, zdali jsi Kristus, Syn Boží!“']",low
6,Mark 13:25,3,['a hvězdy budou padati s nebe a moci nebeské budou se pohybovati.'],low
7,Mark 13:32,1,"['O tom dni však neb hodině neví nikdo, ani andělé v nebi ani Syn, leč (jedině) Otec.']",low
8,John 1:27,2,"['(jest to ten), jenž po mně přijíti má, (jenž přede mnou jest), jemuž já nejsem hoden rozvázati řeménky u obuvi jeho.“ -']",low
9,John 1:36,3,"['A spatřiv Ježíše, an jde kolem, řekl: „Ejhle Beránek Boží.“']",low
10,Luke 4:4,15,"['A odpověděl jemu Ježíš: Psáno-ť jest, že nesamým chlebem živ jest člověk, ale každým slovem Božím.', 'A Ježíš mu odpověděl: „Psáno jest: Ne samým chlebem živ jest člověk, nýbrž každým slovem Božím.“']",low
