,verse,initial results,filtered stop-subverses,filtered multiple attributions,"""sure"" citations"
0,Jer 37:9,17,0,0,0
1,Matt 5:33,5,3,0,0
2,Matt 5:38,87,82,80,0
3,Matt 5:43,25,20,1,1
4,1John 5:6,23,18,15,0
5,Num 15:11,4299,0,0,0
6,Job 3:2,1537,0,0,0
7,Jdt 11:21,1,0,0,0
8,1Sam 16:19,1,1,1,0
9,2Kgs 3:27,1,1,0,0
10,Acts 4:25,11,0,0,0
11,1Sam 14:40,285,0,0,0
12,Deut 6:17,35,0,0,0
13,Acts 2:24,116,1,1,1
14,Lev 22:20,2,2,2,0
15,Num 30:17,50,0,0,0
16,Deut 19:21,79,78,0,0
17,Matt 28:19,31,10,10,0
18,Luke 18:13,24,24,22,0
19,2Sam 11:3,45,0,0,0
20,Matt 26:63,5,5,5,0
21,Mark 13:24,2,2,0,0
22,Matt 24:29,4,4,0,0
23,Luke 21:26,3,3,1,0
24,Mark 13:25,4,4,3,2
25,Mark 13:32,1,1,1,0
26,Luke 1:23,78,0,0,0
27,Matt 22:3,4,0,0,0
28,Esth 6:4,58,8,8,0
29,John 1:27,3,3,2,0
30,Luke 3:16,3,3,0,0
31,John 1:29,19,19,16,0
32,John 1:36,8,8,3,0
33,Deut 8:3,16,16,0,0
34,Luke 4:4,35,35,15,0
35,Matt 4:4,33,33,28,3
36,Luke 3:4,61,61,41,0
37,Mark 1:3,62,62,60,0
38,Matt 3:3,61,61,1,0
39,John 1:1,34,34,33,8
40,1Tim 1:12,10,0,0,0
41,Rom 6:11,10,0,0,0
42,Rom 6:23,11,1,1,0
43,Phil 4:7,2,2,2,1
44,Gen 13:14,61,1,1,0
45,Jonah 1:13,6,1,1,0
46,Jer 22:21,27,0,0,0
47,Matt 10:7,3,3,3,0
48,Luke 10:11,1,1,0,0
49,1Chr 27:25,3,0,0,0
50,Exod 21:7,37,0,0,0
51,Rom 13:11,13,13,13,0
52,John 16:13,4,1,0,0
53,Matt 28:20,38,36,26,3
54,Acts 8:11,33,0,0,0
55,Gen 24:35,6,0,0,0
56,Matt 5:3,28,28,27,5
57,Matt 5:10,18,18,1,0
58,Isa 55:8,1,1,1,0
59,Ps 23:4,12,12,9,0
60,Jas 1:3,2,2,1,0
61,John 16:33,17,17,14,0
62,John 16:2,14,14,14,2
63,John 3:17,1,1,1,0
64,Matt 5:7,11,11,9,5
65,Luke 5:26,1,1,1,0
66,Luke 5:24,11,11,0,0
67,Mark 2:9,27,27,3,0
68,Mark 2:11,11,11,9,0
69,Matt 9:6,11,11,1,1
70,Matt 23:23,6,6,2,0
71,Ezek 20:13,1,1,1,0
72,Luke 20:6,156,0,0,0
73,Rom 8:38,258,5,3,2
74,2Macc 11:20,4,0,0,0
75,Gen 2:23,1,1,1,0
76,Acts 19:4,1,1,1,1
77,Acts 19:2,6,6,2,0
78,Acts 8:19,4,4,2,0
79,Acts 19:6,7,7,7,0
80,Mark 15:27,1,1,0,0
81,Luke 23:33,3,1,0,0
82,Matt 27:38,7,7,5,0
83,Prov 19:17,4,4,4,0
84,Lam 1:19,5,0,0,0
85,1Cor 3:11,8,3,3,0
86,Amos 8:12,2,2,2,0
87,Jer 9:25,2,2,2,0
88,Heb 8:8,2,2,0,0
89,Amos 8:11,2,2,0,0
90,Amos 8:14,1,1,0,0
91,Acts 13:22,5,2,2,0
92,1Kgs 15:16,2,0,0,0
93,1Kgs 15:32,2,0,0,0
94,John 10:16,30,30,30,3
95,John 3:16,19,19,5,1
96,Josh 4:15,360,0,0,0
97,Wis 16:25,45,0,0,0
98,Luke 10:23,9,9,9,0
99,1Sam 3:12,221,0,0,0
100,Esth 1:19,7,0,0,0
101,1Macc 13:51,11,0,0,0
102,Mark 11:9,4,3,0,0
103,Matt 21:9,27,27,2,0
104,Matt 21:15,15,15,7,0
105,John 12:13,19,19,11,4
106,Luke 13:35,25,25,0,0
107,Mark 11:10,26,26,7,0
108,Matt 23:39,24,24,9,0
109,Rev 7:9,8,6,4,0
110,Luke 23:43,14,14,14,0
111,Phil 2:10,6,3,3,0
112,Num 20:6,12,12,5,0
113,Ps 118:19,2,2,1,0
114,Ps 117:19,3,3,2,0
115,1Cor 7:21,146,0,0,0
116,Luke 9:22,2,2,1,0
117,Mark 9:30,15,15,5,0
118,Luke 24:7,7,7,4,0
119,Matt 17:2,3,3,1,0
120,Matt 17:3,1,1,1,0
121,Rev 1:16,3,3,2,0
122,Rev 10:1,3,3,0,0
123,Rom 12:2,154,4,4,0
124,Luke 9:33,2,0,0,0
125,Matt 17:4,3,1,1,1
126,Mark 9:4,2,0,0,0
127,1Sam 21:7,1,1,1,0
128,2Chr 26:12,7,0,0,0
129,Ps 133:1,2,0,0,0
130,2Chr 23:6,15,0,0,0
131,Jdt 4:4,35,0,0,0
132,1Chr 9:33,416,0,0,0
133,1Cor 11:27,1,1,1,0
134,Matt 20:21,1,1,0,0
135,Matt 20:23,1,1,1,1
136,John 12:23,3,3,0,0
137,Mark 12:29,3,2,0,0
138,Luke 5:31,5,5,2,0
139,Matt 11:4,5,5,0,0
140,Matt 20:22,1,1,0,0
141,Mark 10:38,1,1,0,0
142,John 15:18,6,6,3,0
143,John 15:20,19,3,1,0
144,2Tim 3:12,60,1,1,0
145,Luke 5:20,16,16,1,0
146,Luke 5:23,17,17,2,0
147,Mark 2:5,16,16,9,0
148,Matt 9:2,16,16,0,0
149,Dan 14:37,2,2,2,0
150,1Macc 9:7,32,0,0,0
151,1Cor 13:5,2,2,2,1
152,John 15:5,4,4,2,0
153,Exod 12:14,4,4,4,0
154,1Macc 9:63,51,0,0,0
155,Mark 5:41,7,6,3,0
156,Acts 18:17,1,1,1,0
157,Matt 18:33,1,1,1,1
158,Matt 18:32,1,1,0,0
159,Luke 11:2,47,47,0,0
160,Matt 5:16,21,21,7,0
161,Matt 5:45,13,13,1,0
162,Matt 5:48,12,12,2,0
163,Matt 6:1,19,19,0,0
164,Matt 6:9,28,28,18,0
165,Matt 7:11,10,10,0,0
166,Matt 10:32,22,22,10,0
167,Matt 10:33,19,19,10,0
168,Matt 16:17,22,22,2,0
169,Matt 18:14,10,10,3,0
170,Matt 23:9,19,19,9,0
171,2Cor 2:6,170,20,20,0
172,John 1:19,2,2,2,0
173,John 15:13,7,7,5,2
174,Num 24:17,1,1,1,0
175,Matt 2:2,5,5,5,0
176,Matt 2:8,2,2,2,1
177,Matt 2:11,13,13,13,0
178,2Pet 2:8,6,0,0,0
179,Rom 8:23,4,4,4,4
180,Eph 4:5,2,2,2,2
181,Isa 65:17,1,1,1,0
182,2Pet 3:13,1,1,0,0
183,2Pet 3:10,2,2,2,1
184,Luke 21:28,2,2,2,0
185,Jdt 12:3,6,0,0,0
186,2Cor 12:21,236,0,0,0
187,Ezek 17:15,56,1,1,0
188,John 20:23,5,5,3,1
189,John 20:22,5,5,3,0
190,Isa 41:26,32,0,0,0
191,Mark 5:23,10,0,0,0
192,Deut 19:6,1,0,0,0
193,Heb 13:20,57,0,0,0
194,Gal 1:3,60,15,0,0
195,Mark 15:39,11,0,0,0
196,Gen 2:18,4,4,4,0
197,Gen 42:25,1,0,0,0
198,Luke 10:27,47,47,9,1
199,Luke 21:6,32,32,32,0
200,Ps 138:1,1,1,0,0
201,Deut 10:12,2,1,0,0
202,Deut 30:6,1,1,0,0
203,Deut 30:10,1,1,0,0
204,Jer 32:41,1,1,1,0
205,Matt 10:37,1,1,1,0
206,Matt 6:33,29,29,28,1
207,1Cor 15:54,7,7,6,0
208,1Cor 15:55,10,10,10,6
209,Gen 38:24,166,0,0,0
210,Neh 9:17,7,7,7,0
211,Deut 5:17,336,336,0,0
212,Exod 20:13,336,336,0,0
213,Luke 8:5,5,5,3,1
214,2Tim 2:9,1,1,1,1
215,2Tim 2:8,4,4,4,1
216,2Cor 11:23,5,4,3,1
217,Rom 2:16,1,1,0,0
218,2Kgs 19:7,1,0,0,0
219,Isa 37:7,1,0,0,0
220,Isa 59:15,22,0,0,0
221,Acts 2:2,8,8,6,4
222,Acts 2:4,10,10,6,3
223,Acts 4:31,13,9,0,0
224,Acts 2:3,6,6,3,0
225,Acts 4:8,12,12,0,0
226,Acts 13:9,12,12,5,0
227,Acts 26:25,1,1,1,0
228,Luke 12:49,3,3,2,1
229,Luke 1:35,4,4,3,1
230,Luke 23:34,33,33,33,9
231,Acts 7:60,9,2,1,0
232,Acts 7:59,9,2,0,0
233,1Kgs 14:22,69,0,0,0
234,Ezek 43:6,22,0,0,0
235,Titus 2:13,34,0,0,0
236,Matt 10:16,4,4,4,0
237,Mal 2:17,110,0,0,0
238,2Cor 3:15,63,1,1,0
239,2Cor 6:14,4,4,4,0
240,2Cor 6:4,4,4,0,0
241,Matt 4:9,21,21,19,0
242,John 13:35,9,8,7,2
243,Deut 5:6,2,2,0,0
244,Exod 20:2,2,2,0,0
245,Ezek 20:5,6,4,0,0
246,Ezek 20:19,4,4,0,0
247,Lev 18:2,4,4,0,0
248,Lev 18:4,4,4,0,0
249,Lev 18:30,8,4,0,0
250,Lev 19:4,4,4,2,0
251,Lev 19:10,4,4,0,0
252,Lev 19:31,4,4,0,0
253,Lev 19:34,4,4,0,0
254,Lev 19:36,5,4,0,0
255,Lev 20:24,4,4,0,0
256,Lev 23:22,4,4,0,0
257,Lev 25:38,4,4,0,0
258,Lev 26:13,4,4,0,0
259,Num 15:41,4,4,0,0
260,Judg 6:10,4,4,0,0
261,Ps 81:11,2,2,0,0
262,Deut 6:15,2,2,0,0
263,Lev 19:25,4,4,0,0
264,Lev 23:43,4,4,0,0
265,Lev 26:1,5,5,1,0
266,Num 10:10,4,4,0,0
267,Hos 12:9,2,2,0,0
268,1John 5:7,5,5,4,2
269,Tob 6:6,3,0,0,0
270,Matt 22:39,37,37,32,1
271,Matt 19:19,79,79,22,0
272,John 13:34,9,9,3,0
273,John 15:12,9,9,2,0
