,year,Matt 5:38,Mark 1:3,Exod 20:13/Deut 5:17,Luke 2:14,Matt 6:11/Luke 11:3,Exod 20:15/Deut 5:19,Rom 9:30,Matt 16:18,Luke 20:25,Matt 20:16
0,1930,7,6,20,12,6,3,9,3,4,2
1,1933,13,4,37,11,7,1,5,2,1,6
2,1931,7,8,23,8,2,6,8,6,5,4
3,1925,2,4,19,7,4,6,9,16,6,5
4,1928,5,6,22,8,0,3,6,2,5,2
5,1929,8,4,28,4,4,5,7,3,1,1
6,1926,7,8,23,10,3,3,5,7,4,4
7,1932,7,1,23,9,2,1,6,1,0,4
8,1927,5,11,27,11,3,7,7,4,3,3
9,1934,2,0,21,4,3,2,10,0,2,6
10,1938,5,0,23,2,5,0,5,0,2,0
11,1936,1,1,22,1,1,2,4,2,1,2
12,1935,5,3,17,2,3,2,5,1,2,3
13,1937,4,1,10,5,6,2,8,2,2,2
14,1939,2,3,20,3,4,4,5,0,4,2
