,size,Group,Verse text
1J 5:6,1,11-15,"Ježíš Kristus jest ten, který přišel skrze vodu a krev. Nejen s vodou, ale s vodou a s krví. A Duch je toho svědkem, poněvadž Duch je pravda. "
Mt 5:38,1,21+,"Slyšeli jste, že bylo řečeno: „Oko za oko, zub za zub.“"
L 18:13,1,21+,"Ale celník stoje zdaleka, nechtěl ani očí pozdvihnouti k nebi, nýbrž bil se v prsa svá a říkal: ,Bože, buď milostiv mně hříšnému.‘"
Mt 26:63,1,3-5,"Ale Ježíš mlčel. I řekl mu velekněz: „Zapřísahám tě skrze Boha živého, abys nám pověděl, jsi-li ty Kristus, Syn Boží?“"
Mk 13:25,1,3-5,a hvězdy budou padati s nebe a moci nebeské budou se pohybovati.
J 1:36,1,3-5,"A spatřiv Ježíše, an jde kolem, řekl: „Ejhle Beránek Boží.“"
L 4:4,1,11-15,"A odpověděl jemu Ježíš: Psáno-ť jest, že nesamým chlebem živ jest člověk, ale každým slovem Božím."
L 3:4,1,21+,"jakož psáno jest v knize řečí proroka Isaiáše: „Hlas volajícího na poušti: Připravte cestu Páně, přímé čiňte stezky jeho;"
Mt 3:3/J 1:23/Mk 1:3/Iz 40:3,1,21+,"„Hlas volajícího na poušti: ,Připravte cestu Páně, přímé čiňte stezky jeho.‘“"
J 1:1,1,21+,"Na počátku bylo Slovo, a to Slovo bylo u Boha, a to Slovo byl Bůh."
Mt 10:7,1,3-5,"Jdouce pak kažte, řkouce: že se přiblížilo Království Nebeské."
R 13:11,1,11-15,"A vědouce ten čas: že již hodina jest, abychom ze sna povstali. Neboť nyní bližší jest naše spasení, nežli když sme uvěřili."
Mt 28:20,1,21+,"Učíce je zachovávati všecko, což jsem koli přikázal vám. A aj, já s vámi jsem po všecky dny, až do skonání světa. Amen."
Mt 5:3,1,21+,"Blahoslavení chudí duchem, nebo jejich jest království nebeské."
Z 23:4,1,6-10,"Byť mi se dostalo jíti přes údolí stínu smrti, nebuduť se báti zlého, nebo ty se mnou jsi; prut tvůj a hůl tvá, toť mne potěšuje."
J 16:33,1,11-15,"Tyto věci mluvil jsem vám, abyste ve mně pokoj měli. Na světě ssoužení míti budete, ale doufejtež, jáť jsem přemohl svět."
J 16:2,1,11-15,"Z náboženské obce své vyloučí vás, ano přichází hodina, že každý, kdo vás zabije, bude se domnívati, že tím Bohu slouží."
Mt 5:7,1,6-10,"Blahoslavení milosrdní, neboť oni milosrdenství dojdou."
Mk 2:11,1,6-10,"„Tobě pravím: ,Vstaň, vezmi lože své a jdi do domu svého.“"
Sk 19:6,1,6-10,"A když Pavel vložil na ně ruce, přišel na ně Duch svatý; i mluvili jazyky a prorokovali."
Mt 27:38,1,3-5,"Potom ukřižovali s ním dva lotry, jednoho na pravici, druhého na levici."
Pr 19:17,1,3-5,"Půjčuje Hospodinu, kdo se nad chudým smilovává; a on jemu (co půjčeno) zase vrátí."
J 10:16,1,21+,"Mám ještě jiné ovce, které nejsou z tohoto ovčince; i ty musím přivésti, a hlas můj slyšeti budou, a bude jeden ovčinec a jeden pastýř."
J 3:16,1,3-5,"Nebo tak Bůh miloval svět, že Syna svého jednorozeného dal, aby každý, kdož věří v něho, nezahynul, ale měl život věčný."
L 10:23,1,6-10,"A obrátiv se k učeníkům svým pravil: „Blahoslavené oči, které vidí, co vy vidíte."
Mk 11:10,1,6-10,"Požehnaný, jenž se béře ve jménu páně: Požehnané kteréž přišlo Království otce našeho Davida: Hosanna na výsostech."
