,Source,Target,Shared,Value
Čech-Posel záhrobní,Čech,Posel záhrobní,132,0.08143121529919803
Čech-Venkov,Čech,Venkov,269,0.13537996980372421
Posel záhrobní-Čech,Posel záhrobní,Čech,132,0.08143121529919803
Posel záhrobní-Venkov,Posel záhrobní,Venkov,74,0.06519823788546256
Venkov-Čech,Venkov,Čech,269,0.13537996980372421
Venkov-Posel záhrobní,Venkov,Posel záhrobní,74,0.06519823788546256
Čech-Československý zemědělec,Čech,Československý zemědělec,38,0.02562373567093729
Československý zemědělec-Čech,Československý zemědělec,Čech,38,0.02562373567093729
Čech-Český učitel,Čech,Český učitel,78,0.05288135593220339
Čech-Moravský večerník,Čech,Moravský večerník,109,0.07027724049000644
Čech-Polední list,Čech,Polední list,54,0.03665987780040733
Čech-Přítomnost,Čech,Přítomnost,105,0.06898817345597898
Čech-Studentský časopis,Čech,Studentský časopis,44,0.030492030492030493
Československý zemědělec-Český učitel,Československý zemědělec,Český učitel,14,0.05384615384615385
Československý zemědělec-Moravský večerník,Československý zemědělec,Moravský večerník,25,0.0702247191011236
Československý zemědělec-Polední list,Československý zemědělec,Polední list,16,0.06896551724137931
Československý zemědělec-Posel záhrobní,Československý zemědělec,Posel záhrobní,15,0.032679738562091505
Československý zemědělec-Přítomnost,Československý zemědělec,Přítomnost,18,0.05454545454545454
Československý zemědělec-Studentský časopis,Československý zemědělec,Studentský časopis,10,0.050505050505050504
Československý zemědělec-Venkov,Československý zemědělec,Venkov,34,0.036055143160127257
Český učitel-Čech,Český učitel,Čech,78,0.05288135593220339
Český učitel-Československý zemědělec,Český učitel,Československý zemědělec,14,0.05384615384615385
Český učitel-Moravský večerník,Český učitel,Moravský večerník,41,0.11021505376344086
Český učitel-Polední list,Český učitel,Polední list,24,0.09375
Český učitel-Posel záhrobní,Český učitel,Posel záhrobní,29,0.06079664570230608
Český učitel-Přítomnost,Český učitel,Přítomnost,40,0.11764705882352941
Český učitel-Studentský časopis,Český učitel,Studentský časopis,22,0.10091743119266056
Český učitel-Venkov,Český učitel,Venkov,71,0.07569296375266525
Moravský večerník-Čech,Moravský večerník,Čech,109,0.07027724049000644
Moravský večerník-Československý zemědělec,Moravský večerník,Československý zemědělec,25,0.0702247191011236
Moravský večerník-Český učitel,Moravský večerník,Český učitel,41,0.11021505376344086
Moravský večerník-Polední list,Moravský večerník,Polední list,38,0.10888252148997135
Moravský večerník-Posel záhrobní,Moravský večerník,Posel záhrobní,44,0.0773286467486819
Moravský večerník-Přítomnost,Moravský večerník,Přítomnost,64,0.15130023640661938
Moravský večerník-Studentský časopis,Moravský večerník,Studentský časopis,31,0.0981012658227848
Moravský večerník-Venkov,Moravský večerník,Venkov,139,0.14227226202661208
Polední list-Čech,Polední list,Čech,54,0.03665987780040733
Polední list-Československý zemědělec,Polední list,Československý zemědělec,16,0.06896551724137931
Polední list-Český učitel,Polední list,Český učitel,24,0.09375
Polední list-Moravský večerník,Polední list,Moravský večerník,38,0.10888252148997135
