,size,Group,Verse text
Moravský hospodář,2,Periodikum: Moravský hospodář,Moravský hospodář
Polední list,122,Periodikum: Polední list,Polední list
Moravský večerník,256,Periodikum: Moravský večerník,Moravský večerník
Věstník katolického duchovenstva,537,Periodikum: Věstník katolického duchovenstva,Věstník katolického duchovenstva
Přítomnost,225,Periodikum: Přítomnost,Přítomnost
Venkov,850,Periodikum: Venkov,Venkov
Studentský časopis,84,Periodikum: Studentský časopis,Studentský časopis
Československý zemědělec,118,Periodikum: Československý zemědělec,Československý zemědělec
Český učitel,150,Periodikum: Český učitel,Český učitel
Čech,1397,Periodikum: Čech,Čech
Posel záhrobní,352,Periodikum: Posel záhrobní,Posel záhrobní
