,size,Group,Verse text
Moravský hospodář,7,Tisk: Moravský hospodář,Moravský hospodář
Polední list,172,Tisk: Polední list,Polední list
Moravský večerník,431,Tisk: Moravský večerník,Moravský večerník
Věstník katolického duchovenstva,767,Tisk: Věstník katolického duchovenstva,Věstník katolického duchovenstva
Přítomnost,376,Tisk: Přítomnost,Přítomnost
Venkov,1706,Tisk: Venkov,Venkov
Studentský časopis,114,Tisk: Studentský časopis,Studentský časopis
Československý zemědělec,138,Tisk: Československý zemědělec,Československý zemědělec
Český učitel,234,Tisk: Český učitel,Český učitel
Čech,3056,Tisk: Čech,Čech
Posel záhrobní,459,Tisk: Posel záhrobní,Posel záhrobní
