,Source,Target,Value
0,Čech,1J 5:6,10
1,Čech,Mt 5:38,10
2,Čech,L 18:13,21
3,Čech,Mt 26:63,4
4,Čech,J 1:36,3
5,Čech,L 4:4,3
6,Čech,Mt 3:3/J 1:23/Mk 1:3/L 3:4/Iz 40:3,20
7,Čech,J 1:1,7
8,Čech,Mt 10:7,3
9,Čech,R 13:11,4
10,Čech,Mt 28:20,15
11,Čech,Mt 5:3,10
12,Čech,J 16:33,13
13,Čech,J 16:2,12
14,Čech,Mt 5:7,5
15,Čech,Mk 2:11,8
16,Čech,Sk 19:6,5
17,Čech,Mt 27:38,3
18,Čech,Pr 19:17,3
19,Čech,J 10:16,18
20,Čech,L 10:23,9
21,Čech,Mk 11:10,5
22,Čech,Zj 7:9,4
23,Čech,L 23:43,9
24,Čech,Nu 20:6,3
25,Čech,Ex 12:14,4
26,Čech,Mk 5:41,3
27,Čech,Mt 5:16,4
28,Čech,Mt 2:2,5
29,Čech,Mt 2:11,7
30,Čech,R 8:23,4
31,Čech,L 10:27,3
32,Čech,L 21:6,8
33,Čech,Mt 6:33,15
34,Čech,1K 15:55,6
35,Čech,2K 11:23,3
36,Čech,Sk 2:2,4
37,Čech,L 23:34,14
38,Čech,2K 6:14,4
39,Čech,Mt 4:9,11
40,Čech,J 13:35,4
41,Čech,1J 5:7,3
42,Čech,Mt 22:39,12
43,Čech,J 10:11,18
44,Čech,L 2:14,53
45,Čech,Sk 9:4,6
46,Čech,1Kr 12:4,3
47,Čech,Gn 2:9,3
48,Čech,Sk 5:29,11
49,Čech,Mt 4:4,9
50,Čech,L 19:46,4
51,Čech,Mt 11:28,22
52,Čech,L 9:35,4
53,Čech,2P 1:17,16
54,Čech,L 18:10,3
55,Čech,L 18:11,6
56,Čech,Mt 23:12,4
57,Čech,Mt 6:12,6
58,Čech,Mt 6:11/L 11:3,14
59,Čech,Ex 20:15/Dt 5:19,16
60,Čech,L 18:31,5
61,Čech,L 18:34,3
62,Čech,Z 127:1,9
63,Čech,Mk 16:16,7
64,Čech,Ex 20:12/Dt 5:16/Ef 6:2,10
65,Čech,J 1:14,8
66,Čech,Gn 3:19,12
67,Čech,Mt 22:21,7
68,Čech,Mt 7:21,7
69,Čech,Mk 13:31/Mt 24:35/L 21:33,18
70,Čech,Pr 26:27,7
71,Čech,Mt 27:25,34
72,Čech,Mt 16:24,7
73,Čech,Mt 13:24,4
74,Čech,Mt 13:30,4
75,Čech,L 9:55,4
76,Čech,J 6:48,3
77,Čech,J 8:12,14
78,Čech,J 11:25,12
79,Čech,L 11:23,3
80,Čech,Mt 12:30,9
81,Čech,2K 1:2/Fp 1:2/2Te 1:2/1K 1:3/Ef 1:2/Ga 1:3,9
82,Čech,Mt 8:25,7
83,Čech,J 6:56,3
84,Čech,Mt 16:18,39
85,Čech,J 20:23,3
86,Čech,L 16:9,7
87,Čech,Mt 22:42,15
88,Čech,Mt 6:9,4
89,Čech,L 9:23,4
90,Čech,Mk 12:30,5
