,Source,Target,Value
0,Čech,1J 5:6,10
1,Čech,1S 16:19,1
2,Čech,Lv 22:20,1
3,Čech,Mt 5:38,10
4,Čech,L 18:13,21
5,Čech,Mt 26:63,4
6,Čech,Mk 13:25,2
7,Čech,Mk 13:32,1
8,Čech,J 1:27,1
9,Čech,J 1:36,3
10,Čech,L 4:4,3
11,Čech,L 3:4,11
12,Čech,Mt 3:3/J 1:23/Mk 1:3/Iz 40:3,20
13,Čech,J 1:1,7
14,Čech,Fp 4:7,2
15,Čech,Mt 10:7,3
16,Čech,R 13:11,4
17,Čech,Mt 28:20,15
18,Čech,Mt 5:3,10
19,Čech,Iz 55:8,1
20,Čech,Z 23:4,2
21,Čech,Jk 1:3,1
22,Čech,J 16:33,13
23,Čech,J 16:2,12
24,Čech,J 3:17,1
25,Čech,Mt 5:7,5
26,Čech,L 5:26,1
27,Čech,Mk 2:11,8
28,Čech,Mt 23:23,1
29,Čech,Ez 20:13,1
30,Čech,Gn 2:23,1
31,Čech,Sk 19:4,1
32,Čech,Sk 8:19,2
33,Čech,Sk 19:6,5
34,Čech,Mt 27:38,3
35,Čech,Pr 19:17,3
36,Čech,Am 8:12,2
37,Čech,Jr 9:25,2
38,Čech,Sk 13:22,2
39,Čech,J 10:16,18
40,Čech,J 3:16,1
41,Čech,L 10:23,9
42,Čech,Mk 11:10,5
43,Čech,Zj 7:9,4
44,Čech,L 23:43,9
45,Čech,Fp 2:10,2
46,Čech,Nu 20:6,3
47,Čech,Z 118:19,1
48,Čech,L 9:22,1
49,Čech,Mt 17:3,1
50,Čech,Mt 17:4,1
51,Čech,1S 21:7,1
52,Čech,1K 11:27,1
53,Čech,Mt 20:23,1
54,Čech,J 15:18,2
55,Čech,L 5:23,2
56,Čech,Da 14:37,2
57,Čech,1K 13:5,1
58,Čech,J 15:5,1
59,Čech,Ex 12:14,4
60,Čech,Mk 5:41,3
61,Čech,Sk 18:17,1
62,Čech,Mt 18:33,1
63,Čech,Mt 5:16,4
64,Čech,J 1:19,2
65,Čech,J 15:13,2
66,Čech,Nu 24:17,1
67,Čech,Mt 2:2,5
68,Čech,Mt 2:8,2
69,Čech,Mt 2:11,7
70,Čech,R 8:23,4
71,Čech,Ef 4:5,2
72,Čech,Iz 65:17,1
73,Čech,2P 3:10,1
74,Čech,L 21:28,1
75,Čech,J 20:22,2
76,Čech,Gn 2:18,2
77,Čech,L 10:27,3
78,Čech,L 21:6,8
79,Čech,Jr 32:41,1
80,Čech,Mt 10:37,1
81,Čech,Mt 6:33,15
82,Čech,1K 15:54,1
83,Čech,1K 15:55,6
84,Čech,Neh 9:17,2
85,Čech,Ex 20:13/Dt 5:17,36
86,Čech,L 8:5,1
87,Čech,2Tm 2:9,1
88,Čech,2Tm 2:8,1
89,Čech,2K 11:23,3
90,Čech,Sk 2:2,4
91,Čech,Sk 2:4,2
92,Čech,Sk 26:25,1
93,Čech,L 12:49,1
94,Čech,L 1:35,2
95,Čech,L 23:34,14
96,Čech,Sk 7:60,1
97,Čech,Mt 10:16,1
98,Čech,2K 6:14,4
99,Čech,Mt 4:9,11
100,Čech,J 13:35,4
101,Čech,Ex 20:2/Dt 5:6,2
102,Čech,1J 5:7,3
103,Čech,Mt 22:39,12
104,Čech,J 13:34,1
105,Čech,Tit 1:2,2
106,Čech,Mt 25:43,2
107,Čech,J 10:11,18
108,Čech,L 15:19,1
109,Čech,L 2:14,53
110,Čech,Sk 9:4,6
111,Čech,1Kr 12:4,3
112,Čech,2Pa 10:4,1
113,Čech,Gn 2:9,3
114,Čech,Ex 20:5,1
115,Čech,Jl 1:14,1
116,Čech,Sk 5:29,11
117,Čech,J 8:32,1
118,Čech,Sir 34:9,1
119,Čech,Mt 4:11,1
120,Čech,Mt 4:4,9
121,Čech,Mt 4:3,1
122,Čech,L 4:12,2
123,Čech,Mt 4:7,2
124,Čech,Ga 3:10,1
125,Čech,J 4:23,1
126,Čech,J 4:24,1
127,Čech,L 19:46,4
128,Čech,L 11:43,1
129,Čech,Ef 6:13,2
130,Čech,Ef 6:16,1
131,Čech,Z 143:3,2
132,Čech,Z 28:9,1
133,Čech,Mt 11:28,22
134,Čech,L 9:35,4
135,Čech,2P 1:17,16
136,Čech,L 6:38,1
137,Čech,L 18:10,3
138,Čech,L 18:11,6
139,Čech,Nu 15:28,1
140,Čech,Mt 23:12,4
141,Čech,1K 9:27,1
142,Čech,Mt 6:12,6
143,Čech,Mt 6:11/L 11:3,14
144,Čech,Ex 20:15/Dt 5:19,16
145,Čech,L 18:31,5
146,Čech,L 18:34,3
147,Čech,Z 127:1,9
148,Čech,L 14:23,2
149,Čech,Mk 16:16,7
150,Čech,Sk 13:44,1
151,Čech,1J 3:14,1
152,Čech,1J 3:15,2
153,Čech,Mt 6:23,1
154,Čech,Ex 20:12/Dt 5:16/Ef 6:2,10
155,Čech,J 1:14,8
156,Čech,Gn 3:19,12
157,Čech,Mt 22:21,7
158,Čech,Kaz 3:1,1
159,Čech,J 1:45,1
160,Čech,Mt 7:21,7
161,Čech,J 6:5,2
162,Čech,Mk 13:31/Mt 24:35/L 21:33,18
163,Čech,Pr 26:27,7
164,Čech,J 6:9,2
165,Čech,2Kr 22:3,1
166,Čech,Jk 1:22,2
167,Čech,Mt 16:23,1
168,Čech,1K 15:33,1
169,Čech,Mt 27:25,34
170,Čech,Jr 42:12,1
171,Čech,Mt 16:24,7
172,Čech,L 13:7,2
173,Čech,L 13:6,2
174,Čech,L 13:8,1
175,Čech,Mt 13:29,2
176,Čech,Mt 13:24,4
177,Čech,Mt 13:30,4
178,Čech,L 9:55,4
179,Čech,J 6:48,3
180,Čech,J 8:12,14
181,Čech,J 11:25,12
182,Čech,L 11:23,3
183,Čech,Mt 12:30,9
184,Čech,Mt 10:34,2
185,Čech,L 12:51,1
186,Čech,R 13:14,1
187,Čech,2K 1:2/Fp 1:2/2Te 1:2/1K 1:3/Ef 1:2/Ga 1:3,9
188,Čech,2S 18:33,1
189,Čech,Mt 8:25,7
190,Čech,L 8:10,1
191,Čech,J 6:56,3
192,Čech,Mt 16:18,39
193,Čech,Jr 26:21,1
194,Čech,Mt 18:6,2
195,Čech,Mt 23:34,1
