,size,Group,Verse text
1J 5:6,1,Nový zákon,"Ježíš Kristus jest ten, který přišel skrze vodu a krev. Nejen s vodou, ale s vodou a s krví. A Duch je toho svědkem, poněvadž Duch je pravda. "
1S 16:19,1,Starý zákon,"Poslal tedy Saul posly k Isajovi se vzkazem: „Pošli ke mně Davida, syna svého, který pase."""
Lv 22:20,1,Starý zákon,"Což by koli mělo na sobě vadu, nebudete toho obětovati; nebo nebude příjemné od vás."
Mt 5:38,1,Evangelia,"Slyšeli jste, že bylo řečeno: „Oko za oko, zub za zub.“"
L 18:13,1,Evangelia,"Ale celník stoje zdaleka, nechtěl ani očí pozdvihnouti k nebi, nýbrž bil se v prsa svá a říkal: ,Bože, buď milostiv mně hříšnému.‘"
Mt 26:63,1,Evangelia,"Ale Ježíš mlčel. I řekl mu velekněz: „Zapřísahám tě skrze Boha živého, abys nám pověděl, jsi-li ty Kristus, Syn Boží?“"
Mk 13:25,1,Evangelia,a hvězdy budou padati s nebe a moci nebeské budou se pohybovati.
Mk 13:32,1,Evangelia,"O tom dni však neb hodině neví nikdo, ani andělé v nebi ani Syn, leč (jedině) Otec."
J 1:27,1,Evangelia,"(jest to ten), jenž po mně přijíti má, (jenž přede mnou jest), jemuž já nejsem hoden rozvázati řeménky u obuvi jeho.“ -"
J 1:36,1,Evangelia,"A spatřiv Ježíše, an jde kolem, řekl: „Ejhle Beránek Boží.“"
L 4:4,1,Evangelia,"A odpověděl jemu Ježíš: Psáno-ť jest, že nesamým chlebem živ jest člověk, ale každým slovem Božím."
Mt 3:3/J 1:23/Mk 1:3/L 3:4/Iz 40:3,1,Evangelia,"jakož psáno jest v knize řečí proroka Isaiáše: „Hlas volajícího na poušti: Připravte cestu Páně, přímé čiňte stezky jeho;"
J 1:1,1,Evangelia,"Na počátku bylo Slovo, a to Slovo bylo u Boha, a to Slovo byl Bůh."
Fp 4:7,1,Nový zákon,"A pokoj Boží, kterýž převyšuje všeliký smysl, ostříhej srdcí vaších i myslí vaších, v Kristu Ježíši."
Mt 10:7,1,Evangelia,"Jdouce pak kažte, řkouce: že se přiblížilo Království Nebeské."
R 13:11,1,Nový zákon,"A vědouce ten čas: že již hodina jest, abychom ze sna povstali. Neboť nyní bližší jest naše spasení, nežli když sme uvěřili."
