,Source,Target,Value
0,Čech,1J 5:6,10
1,Čech,Mt 5:38,10
2,Čech,L 18:13,21
3,Čech,Mt 26:63,4
4,Čech,J 1:36,3
5,Čech,L 4:4,3
6,Čech,L 3:4,11
7,Čech,Mk 1:3,20
8,Čech,J 1:1,7
9,Čech,Mt 10:7,3
10,Čech,R 13:11,4
11,Čech,Mt 28:20,15
12,Čech,Mt 5:3,10
13,Čech,J 16:33,13
14,Čech,J 16:2,12
15,Čech,Mt 5:7,5
16,Čech,Mk 2:11,8
17,Čech,Sk 19:6,5
18,Čech,Mt 27:38,3
19,Čech,Pr 19:17,3
20,Čech,J 10:16,18
21,Čech,L 10:23,9
22,Čech,Mk 11:10,5
23,Čech,Zj 7:9,4
24,Čech,L 23:43,9
25,Čech,Nu 20:6,3
26,Čech,Ex 12:14,4
27,Čech,Mk 5:41,3
28,Čech,Mt 5:16,4
29,Čech,Mt 2:2,5
30,Čech,Mt 2:11,7
31,Čech,R 8:23,4
32,Čech,L 10:27,3
33,Čech,L 21:6,8
34,Čech,Mt 6:33,15
35,Čech,1K 15:55,6
36,Čech,Ex 20:13/Dt 5:17,36
37,Čech,2K 11:23,3
38,Čech,Sk 2:2,4
39,Čech,L 23:34,14
40,Čech,2K 6:14,4
41,Čech,Mt 4:9,11
42,Čech,J 13:35,4
43,Čech,1J 5:7,3
44,Čech,Mt 22:39,12
45,Čech,J 10:11,18
46,Čech,L 2:14,53
47,Čech,Sk 9:4,6
48,Čech,1Kr 12:4,3
49,Čech,Gn 2:9,3
50,Čech,Sk 5:29,11
51,Čech,Mt 4:4,9
52,Čech,L 19:46,4
53,Čech,Mt 11:28,22
54,Čech,L 9:35,4
55,Čech,2P 1:17,16
56,Čech,L 18:10,3
57,Čech,L 18:11,6
58,Čech,Mt 23:12,4
59,Čech,Mt 6:12,6
60,Čech,Mt 6:11/L 11:3,14
61,Čech,Ex 20:15/Dt 5:19,16
62,Čech,L 18:31,5
63,Čech,L 18:34,3
64,Čech,Z 127:1,9
65,Čech,Mk 16:16,7
66,Čech,Ef 6:2,11
67,Čech,J 1:14,8
68,Čech,Gn 3:19,12
69,Čech,Mt 22:21,7
70,Čech,Mt 7:21,7
71,Čech,R 9:30,12
72,Čech,Pr 26:27,7
73,Čech,Mt 27:25,34
74,Čech,Mt 16:24,7
75,Čech,Mt 13:24,4
76,Čech,Mt 13:30,4
77,Čech,L 9:55,4
78,Čech,J 6:48,3
79,Čech,J 8:12,14
80,Čech,J 11:25,12
81,Čech,L 11:23,3
82,Čech,Mt 12:30,9
83,Čech,Mt 8:25,7
84,Čech,J 6:56,3
85,Čech,Mt 16:18,39
86,Čech,J 20:23,3
87,Čech,L 16:9,7
88,Čech,Mt 22:42,15
89,Čech,Mt 6:9,4
90,Čech,L 9:23,4
91,Čech,Mk 12:30,5
92,Čech,2K 1:2/Fp 1:2/2Te 1:2/1K 1:3/Ef 1:2/Ga 1:3,6
93,Čech,Zj 14:13,4
94,Čech,J 16:16,3
