,year,Mt 5:38,L 3:4,Mk 1:3,L 2:14,Mt 6:11,L 11:3,R 9:30,Mt 16:18,L 20:25,Mt 20:16
0,1930,7,3,6,12,6,6,9,3,4,2
1,1933,13,3,4,11,7,7,5,2,1,6
2,1931,7,5,8,8,2,2,8,6,5,4
3,1925,2,2,4,7,4,4,9,16,6,5
4,1928,5,3,6,8,0,0,6,2,5,2
5,1929,8,2,4,4,4,4,7,3,1,1
6,1932,7,1,1,9,2,2,6,1,0,4
7,1927,5,8,11,11,3,3,7,4,3,3
8,1926,7,8,8,10,3,3,5,7,4,4
9,1934,2,0,0,4,3,3,10,0,2,6
10,1938,5,0,0,2,5,5,5,0,2,0
11,1935,5,3,3,2,3,3,5,1,2,3
12,1937,4,0,1,5,6,6,8,2,2,2
13,1936,1,0,1,1,1,1,4,2,1,2
14,1939,2,3,3,3,4,4,5,0,4,2
