,size,Group,Verse text
1J 5:6,1,Nový zákon,"Ježíš Kristus jest ten, který přišel skrze vodu a krev. Nejen s vodou, ale s vodou a s krví. A Duch je toho svědkem, poněvadž Duch je pravda. "
Lv 22:20,1,Starý zákon,"Což by koli mělo na sobě vadu, nebudete toho obětovati; nebo nebude příjemné od vás."
Mt 5:38,1,Evangelia,"Slyšeli jste, že bylo řečeno: „Oko za oko, zub za zub.“"
L 18:13,1,Evangelia,"Ale celník stoje zdaleka, nechtěl ani očí pozdvihnouti k nebi, nýbrž bil se v prsa svá a říkal: ,Bože, buď milostiv mně hříšnému.‘"
Mt 26:63,1,Evangelia,"Ale Ježíš mlčel. I řekl mu velekněz: „Zapřísahám tě skrze Boha živého, abys nám pověděl, jsi-li ty Kristus, Syn Boží?“"
Mk 13:25,1,Evangelia,a hvězdy budou padati s nebe a moci nebeské budou se pohybovati.
J 1:27,1,Evangelia,"(jest to ten), jenž po mně přijíti má, (jenž přede mnou jest), jemuž já nejsem hoden rozvázati řeménky u obuvi jeho.“ -"
L 4:4,1,Evangelia,"A odpověděl jemu Ježíš: Psáno-ť jest, že nesamým chlebem živ jest člověk, ale každým slovem Božím."
L 3:4,1,Evangelia,"jakož psáno jest v knize řečí proroka Isaiáše: „Hlas volajícího na poušti: Připravte cestu Páně, přímé čiňte stezky jeho;"
Mt 3:3/J 1:23/Mk 1:3/Iz 40:3,1,Evangelia,"„Hlas volajícího na poušti: ,Připravte cestu Páně, přímé čiňte stezky jeho.‘“"
J 1:1,1,Evangelia,"Na počátku bylo Slovo, a to Slovo bylo u Boha, a to Slovo byl Bůh."
R 13:11,1,Nový zákon,"A vědouce ten čas: že již hodina jest, abychom ze sna povstali. Neboť nyní bližší jest naše spasení, nežli když sme uvěřili."
Mt 28:20,1,Evangelia,"Učíce je zachovávati všecko, což jsem koli přikázal vám. A aj, já s vámi jsem po všecky dny, až do skonání světa. Amen."
Mt 5:3,1,Evangelia,"Blahoslavení chudí duchem, nebo jejich jest království nebeské."
Z 23:4,1,Starý zákon,"Byť mi se dostalo jíti přes údolí stínu smrti, nebuduť se báti zlého, nebo ty se mnou jsi; prut tvůj a hůl tvá, toť mne potěšuje."
J 16:33,1,Evangelia,"Tyto věci mluvil jsem vám, abyste ve mně pokoj měli. Na světě ssoužení míti budete, ale doufejtež, jáť jsem přemohl svět."
J 16:2,1,Evangelia,"Z náboženské obce své vyloučí vás, ano přichází hodina, že každý, kdo vás zabije, bude se domnívati, že tím Bohu slouží."
Mt 5:7,1,Evangelia,"Blahoslavení milosrdní, neboť oni milosrdenství dojdou."
Mk 2:11,1,Evangelia,"„Tobě pravím: ,Vstaň, vezmi lože své a jdi do domu svého.“"
Mt 23:23,1,Evangelia,"Běda vám, pokrytečtí zákoníci a farizeové! Dáváte desátky z máty, z kopru a z kmínu, ale zanedbáváte důležitější předpisy zákona, totiž spravedlnost, milosrdenství a věrnost. Toto je nutno činiti, ale onoho nezanedbávati. -"
Sk 19:6,1,Nový zákon,"A když Pavel vložil na ně ruce, přišel na ně Duch svatý; i mluvili jazyky a prorokovali."
Mt 27:38,1,Evangelia,"Potom ukřižovali s ním dva lotry, jednoho na pravici, druhého na levici."
Pr 19:17,1,Starý zákon,"Půjčuje Hospodinu, kdo se nad chudým smilovává; a on jemu (co půjčeno) zase vrátí."
J 10:16,1,Evangelia,"Mám ještě jiné ovce, které nejsou z tohoto ovčince; i ty musím přivésti, a hlas můj slyšeti budou, a bude jeden ovčinec a jeden pastýř."
J 3:16,1,Evangelia,"Nebo tak Bůh miloval svět, že Syna svého jednorozeného dal, aby každý, kdož věří v něho, nezahynul, ale měl život věčný."
Mk 11:10,1,Evangelia,"Požehnaný, jenž se béře ve jménu páně: Požehnané kteréž přišlo Království otce našeho Davida: Hosanna na výsostech."
L 23:43,1,Evangelia,"I řekl mu Ježíš: Amen pravím tobě, dnes budeš semnou v Ráji."
Fp 2:10,1,Nový zákon,"aby ve jménu Ježíše každé koleno klekalo Nebeských, Zemských, i Pekelních;"
Nu 20:6,1,Starý zákon,"Mojžíš a Áron nechavše lid, vešli do stánku úmluvy, padli na tvář až k zemi [a volali k Hospodinu: Hospodine, Bože, uslyš křik tohoto lidu a otevři jim poklad svůj, studnici vody živé, aby, když se napijí, přestali reptati]. Tu se nad nimi ukázala velebnost Hospodinova"
J 15:18,1,Evangelia,"Jestliže svět vás nenávidí, vězte, že mne nenáviděl prve nežli vás."
1K 13:5,1,Nový zákon,"není ctižádostivá, nehledá svého prospěchu, neroztrpčuje se, nemyslí o zlém,"
J 15:5,1,Evangelia,"Já jsem vinný kmen a vy ratolesti. Kdo zůstává ve mně, a já v něm, ten nese ovoce mnohé; nebo beze mne nic nemůžete učiniti."
Mt 5:16,1,Evangelia,"Tak svěť světlo vaše před lidmi, ať vidí skutky vaše dobré, a slaví Otce vašeho, kterýž jest v nebesích."
J 15:13,1,Evangelia,"Větší lásky nemá nikdo nad tu, aby kdo položil život svůj za své přátele."
Mt 2:11,1,Evangelia,"I vešedše do domu, nalezli dítko s Marií, matkou jeho, a padše, klaněli se jemu, a otevřevše poklady své, obětovali mu dary: zlato, kadidlo a myrrhu."
2P 3:10,1,Nový zákon,"Přijde však den Páně jako zloděj, a v něm nebesa s velikým hukotem pominou, základy pak žárem se rozpustí a země i díla, která jsou na ní, shoří."
L 21:28,1,Evangelia,"Když pak se to počne díti, pohleďte vzhůru a pozdvihněte hlav svých, neboť se přibližuje vykoupení vaše.“"
J 20:22,1,Evangelia,Po těch slovech na ně dechl a řekl jim: „Přijměte Ducha svatého!
Gn 2:18,1,Starý zákon,Hospodin Bůh také řekl: Není dobře člověku býti sám; učiňme mu pomocnici podobnou jemu.
L 10:27,1,Evangelia,"On odpověděv, řekl: Milovati budeš Pána Boha svého, z celého srdce svého, a z celé duše své, a ze vší síly své, i ze vší mysli své: a bližního svého jako sebe samého."
L 21:6,1,Evangelia,"„Přijdou dnové, ve kterých z toho, co vidíte, nezůstane kámen na kameni, který by nebyl rozbořen.“"
Mt 6:33,1,Evangelia,"Ale hledejte nejprv království Božího a spravedlnosti jeho, a toto vše bude vám přidáno."
1K 15:54,1,Nový zákon,"Když pak (toto porušitelné tělo obleče neporušítelnost a toto) smrtelné obleče nesmrtelnost, tehdá se naplní to slovo, které jest psáno: „Pohlcena jest smrt ve vítězství."
1K 15:55,1,Nový zákon,"Kde jest, ó smrti, vítězství tvé? Kde jest, ó smrti, osten tvůj?“"
Neh 9:17,1,Starý zákon,"A nechtěli slyšeti, a nerozpomenuli se na divné věci tvé kteréž si byl učinil jim. A zatvrdili šíje své, a dali hlavu aby se navrátili k službě své, jako skrze svár. Ty pak Bože milostivý, dobrotivý a milosrdný, dlouho čekající a mnohého smilování neopustil si jich,"
Ex 20:13/Dt 5:17,1,Desatero,Nezabiješ.
L 8:5,1,Evangelia,"Vyšel, kterýž rozsívá, aby rozsíval símě své: a když rozsívá jedno padlo podlé cesty: i pošlapáno jest, a ptáci nebeští zzobali je."
2Tm 2:8,1,Nový zákon,"Pamatuj na Ježíše Krista, jenž jsa z potomstva Davidova, vstal z mrtvých podle evangelia mého, ve kterém snáším utrpení až do vazby jako zločinec;"
Sk 2:2,1,Nový zákon,"Tu povstal náhle s nebe hukot, jako když táhne vítr silný, a naplnil dům, kde seděli;"
Sk 2:4,1,Nový zákon,"I naplněni jsou všickni Duchem svatým, a počali mluviti jinými jazyky, jakž ten Duch dával jim vymlouvati."
L 12:49,1,Evangelia,"„Oheň na zem pustit jsem přišel, a co chci (jiného), než aby se vznítil?"
L 1:35,1,Evangelia,"A odpověděv Anjel, řekl jí: Duch svatý stoupí v tě, a moc Nejvyššího zastíní tobě: a protož i to což se z tebe Svatého narodí, slouti bude Syn Boží."
L 23:34,1,Evangelia,"Ježíš řekl: „Otče, odpusť jim, vždyť nevědí, co činí.“ Když si chtěli rozděliti mezi sebe jeho šaty, metali losy."
Mt 10:16,1,Evangelia,"Aj já posílám vás jako ovce mezi vlky: Protož buďte opatrní, jako hadové, a sprostní jako holubice."
Mt 4:9,1,Evangelia,"a řekl: „Toto všecko tobě dám, jestliže padna, budeš se mi klaněti.“"
J 13:35,1,Evangelia,"Po tom poznají všichni, že jste učeníci moji, budete-li míti lásku jedni k druhým.“"
1J 5:7,1,Nový zákon,"Jsou zajisté tři, kteří vydávají svědectví na nebi, Otec, Slovo a Duch svatý; a tito tři jedno jsou;"
Mt 22:39,1,Evangelia,Druhé pak jest podobné tomu: Milovati budeš bližního svého jako sebe samého.
J 13:34,1,Evangelia,"Přikázání nové dávám vám, abyste se milovali vespolek; jako jsem já miloval vás, abyste se i vy milovali vespolek."
Tit 1:2,1,Nový zákon,"k naději v život věčný, který zaslíbil neklamný Bůh před věčnými časy, -"
J 10:11,1,Evangelia,Jáť jsem Pastýř dobrý. Dobry Pastýř duši svou dává za ovce své.
L 2:14,1,Evangelia,"Sláva na výsostech Bohu, a na zemi pokoj, lidem dobrá vůle."
Sk 9:4,1,Nový zákon,"a on pad na zem uslyšel hlas, an k němu praví: „Šavle, Šavle, proč mě pronásleduješ?“"
Gn 2:9,1,Starý zákon,"A vyvedl Hospodin Bůh z země všeliký strom na pohledění libý, a ovoce k jídlu chutné; též strom života u prostřed ráje, i strom vědění dobrého a zlého."
Ex 20:5,1,Desatero,"Nebudeš se jim klaněti, aniž (jich) ctíti; jáť jsem Hospodin, Bůh tvůj silný a řevnivý, jenž do třetího a čtvrtého kolena stíhá syny za nepravosti těch otců, kteří mne nenávidí,"
Sk 5:29,1,Nový zákon,Petr a apoštolově odpověděli: „Více sluší poslouchati Boha než lidí.
J 8:32,1,Evangelia,"a poznáte pravdu, a pravda vás osvobodí.“"
Mt 4:11,1,Evangelia,"Tedy opustil ho ďábel, a aj, andělé přistoupili a sloužili jemu."
Mt 4:4,1,Evangelia,Kterýž odpovídaje řekl: Psáno-ť jest: Ne samým chlebem živ jest člověk: ale každým slovem kteréž vychází z ust Božích.
Mt 4:3,1,Evangelia,"A přistoupiv k němu pokušitel, řekl: Jsi-li Syn Boží, rciž, ať kamení toto chlebové jsou."
L 4:12,1,Evangelia,„A Ježíš mu odpověděl: „Jest řečeno: Nebudeš pokoušeti Pána Boha svého.“
Mt 4:7,1,Evangelia,I řekl mu Ježíš: Zase psáno jest: Nebudeš pokoušeti Pána Boha svého.
J 4:23,1,Evangelia,"Ale jdeť hodina, a nyníť jest, kdyžto praví modlitebníci modliti se budou Otci v duchu a v pravdě. Neboť takových Otec hledá, aby se modlili jemu."
J 4:24,1,Evangelia,"Bůh duch jest, a ti, kteříž se jemu modlí, v duchu a v pravdě musejí se modliti."
L 19:46,1,Evangelia,"řka jim: „Psáno jest: Dům můj jest dům modlitby, vy však jste jej učinili peleší lotrovskou.“"
Z 143:3,1,Starý zákon,"Nebo stihá nepřítel duši mou, potírá až k zemi život můj; na to mne přivodí, abych bydlil v mrákotě, jako ti, kteříž již dávno zemřeli,"
Mt 11:28,1,Evangelia,"„Pojďte ke mně všichni, kteří těžce pracujete a jste přetíženi, a já vám dám odpočinek."
2P 1:17,1,Nový zákon,"Obdržel zajisté od Boha Otce čest i slávu, když se stal k němu takovýto hlas od velikolepé slávy: „Tento jest Syn můj milý, v němž jsem si zalíbil. (Jeho poslouchejte.“)"
L 6:38,1,Evangelia,"Dávejte a bude vám dáno; míru dobrou a natlačenou a natřesenou a vrchovatou dají do klína vašeho; neboť jakou měrou měříte, takovou bude vám odměřeno.“"
L 18:11,1,Evangelia,"Fariseus postaviv se modlil se sám u sebe takto: ,Bože, děkuji tobě, že nejsem jako jiní lidé, lupiči, nespravedliví, cizoložnici, aneb jako i tento celník."
Nu 15:28,1,Starý zákon,"I očistí kněz duši pobloudilou, kteráž zhřešila poblouzením před Hospodinem; očistí ji, a budeť jí odpuštěno."
Mt 23:12,1,Evangelia,"Kdo se povyšuje, bývá ponížen, kdo se ponižuje, bývá povýšen."
Mt 6:12,1,Evangelia,"A odpusť nám naše viny, jakož i my odpouštíme naším viníkům."
Mt 6:11/L 11:3,1,Evangelia,Chléb náš vezdejší dej nám dnes.
Ex 20:15/Dt 5:19,1,Desatero,Nepokradeš.
Z 127:1,1,Starý zákon,"Píseň stupňů, Šalomounova. Nebude-li Hospodin stavěti domu, nadarmo usilují ti, kteříž stavějí jej; nebude-li Hospodin ostříhati města, nadarmo bdí strážný."
Mk 16:16,1,Evangelia,"Kdo uvěří a bude pokřtěn, bude spasen; kdo neuvěří, bude odsouzen."
Sk 13:44,1,Nový zákon,"Příští soboty se shromáždilo skoro celé město, aby slyšeli slovo Boží."
Ex 20:12/Dt 5:16/Ef 6:2,1,Desatero,"Cti otce svého i matku svou, jakož přikázal tobě Hospodin Bůh tvůj, aby se prodleli dnové tvoji, a aby tobě dobře bylo na zemi, kterouž Hospodin Bůh tvůj dá tobě."
J 1:14,1,Evangelia,"A Slovo Tělem učiněno jest, a přebývalo mezi námi: a viděli sme slávu jeho, slávu jakožto jednorozeného od Otce, plného milosti a pravdy."
Gn 3:19,1,Starý zákon,"V potu tváře jísti budeš chléb, dokud se nevrátíš do země, ze které jsi vzat. Ano, prach jsi, a v prach se navrátíš."
Mt 22:21,1,Evangelia,"Řkou jemu: „Císařův.“ Tu řekl jim: „Dávejte tedy, co jest císařovo, císaři, a co jest Božího, Bohu.“"
Kaz 3:1,1,Starý zákon,"Všecko má svůj čas, a svým vyměřeným během jdou všecky věci pod sluncem:"
Mt 7:21,1,Evangelia,"Ne každý, kdož mi říká: Pane, Pane, vejde do království nebeského, ale ten, kdož činí vůli Otce mého, kterýž v nebesích jest."
Mk 13:31/Mt 24:35/L 21:33,1,Evangelia,Nebe a země pominou: ale slova má nepominou.
Pr 26:27,1,Starý zákon,"Kdo (jinému) jámu kopá, (sám) do ní padá, a kdo valí kámen, bude ním zavalen."
J 6:9,1,Evangelia,"Jestiť mládenček jeden zde, kterýž má pět chlebů ječných a dvě rybičky. Ale coť jest to mezi tak mnohé?"
Mt 27:25,1,Evangelia,"A odpověděv všecken lid, řekl: Krev jeho na nás, i na naše syny."
Mt 16:24,1,Evangelia,"Tehdy řekl Ježíš učedlníkům svým: Chce-li kdo za mnou přijíti, zapřiž sebe sám, a vezmi kříž svůj, a následúj mne."
L 13:7,1,Evangelia,"I řekl vinařovi: »Hle, již tři léta uplynula od té doby, co přicházím hledat ovoce na tomto fíku, ale nenalézám. Vysekni jej! Proč i tu zemi moří?«"
L 13:6,1,Evangelia,"Pověděl pak toto podobenství: „Kdosi měl fíkový strom štípený ve své vinici, i přišel hledat na něm ovoce, ale nenalezl."
