,size,Group,Verse text
1J 5:6,1,Nový zákon,"Ježíš Kristus jest ten, který přišel skrze vodu a krev. Nejen s vodou, ale s vodou a s krví. A Duch je toho svědkem, poněvadž Duch je pravda. "
Mt 5:38,1,Evangelia,"Slyšeli jste, že bylo řečeno: „Oko za oko, zub za zub.“"
L 4:4,1,Evangelia,"A odpověděl jemu Ježíš: Psáno-ť jest, že nesamým chlebem živ jest člověk, ale každým slovem Božím."
L 3:4,1,Evangelia,"jakož psáno jest v knize řečí proroka Isaiáše: „Hlas volajícího na poušti: Připravte cestu Páně, přímé čiňte stezky jeho;"
Mk 1:3,1,Evangelia,"„Hlas volajícího na poušti: ,Připravte cestu Páně, přímé čiňte stezky jeho.‘“"
J 1:1,1,Evangelia,"Na počátku bylo Slovo, a to Slovo bylo u Boha, a to Slovo byl Bůh."
R 13:11,1,Nový zákon,"A vědouce ten čas: že již hodina jest, abychom ze sna povstali. Neboť nyní bližší jest naše spasení, nežli když sme uvěřili."
Mt 28:20,1,Evangelia,"Učíce je zachovávati všecko, což jsem koli přikázal vám. A aj, já s vámi jsem po všecky dny, až do skonání světa. Amen."
Mt 5:3,1,Evangelia,"Blahoslavení chudí duchem, nebo jejich jest království nebeské."
Mt 5:7,1,Evangelia,"Blahoslavení milosrdní, neboť oni milosrdenství dojdou."
J 10:16,1,Evangelia,"Mám ještě jiné ovce, které nejsou z tohoto ovčince; i ty musím přivésti, a hlas můj slyšeti budou, a bude jeden ovčinec a jeden pastýř."
L 10:27,1,Evangelia,"On odpověděv, řekl: Milovati budeš Pána Boha svého, z celého srdce svého, a z celé duše své, a ze vší síly své, i ze vší mysli své: a bližního svého jako sebe samého."
L 21:6,1,Evangelia,"„Přijdou dnové, ve kterých z toho, co vidíte, nezůstane kámen na kameni, který by nebyl rozbořen.“"
Mt 6:33,1,Evangelia,"Ale hledejte nejprv království Božího a spravedlnosti jeho, a toto vše bude vám přidáno."
1K 15:55,1,Nový zákon,"Kde jest, ó smrti, vítězství tvé? Kde jest, ó smrti, osten tvůj?“"
Ex 20:13/Dt 5:17,1,Desatero,Nezabiješ.
L 23:34,1,Evangelia,"Ježíš řekl: „Otče, odpusť jim, vždyť nevědí, co činí.“ Když si chtěli rozděliti mezi sebe jeho šaty, metali losy."
Mt 22:39,1,Evangelia,Druhé pak jest podobné tomu: Milovati budeš bližního svého jako sebe samého.
