,Source,Target,Value
0,Čech,1J 5:6,10
2,Čech,Lv 22:20,1
3,Čech,Mt 5:38,10
4,Čech,L 18:13,21
5,Čech,Mt 26:63,4
6,Čech,Mk 13:25,2
8,Čech,J 1:27,1
10,Čech,L 4:4,3
11,Čech,L 3:4,11
12,Čech,Mk 1:3,20
13,Čech,J 1:1,7
16,Čech,R 13:11,4
17,Čech,Mt 28:20,15
18,Čech,Mt 5:3,10
20,Čech,Z 23:4,2
22,Čech,J 16:33,13
23,Čech,J 16:2,12
25,Čech,Mt 5:7,5
27,Čech,Mk 2:11,8
28,Čech,Mt 23:23,1
33,Čech,Sk 19:6,5
34,Čech,Mt 27:38,3
35,Čech,Pr 19:17,3
39,Čech,J 10:16,18
40,Čech,J 3:16,1
42,Čech,Mk 11:10,5
44,Čech,L 23:43,9
45,Čech,Fp 2:10,2
46,Čech,Nu 20:6,3
54,Čech,J 15:18,2
57,Čech,1K 13:5,1
58,Čech,J 15:5,1
63,Čech,Mt 5:16,4
65,Čech,J 15:13,2
69,Čech,Mt 2:11,7
73,Čech,2P 3:10,1
74,Čech,L 21:28,1
75,Čech,J 20:22,2
76,Čech,Gn 2:18,2
77,Čech,L 10:27,3
78,Čech,L 21:6,8
81,Čech,Mt 6:33,15
82,Čech,1K 15:54,1
83,Čech,1K 15:55,6
84,Čech,Neh 9:17,2
85,Čech,Ex 20:13/Dt 5:17,36
86,Čech,L 8:5,1
88,Čech,2Tm 2:8,1
90,Čech,Sk 2:2,4
91,Čech,Sk 2:4,2
93,Čech,L 12:49,1
94,Čech,L 1:35,2
95,Čech,L 23:34,14
97,Čech,Mt 10:16,1
99,Čech,Mt 4:9,11
100,Čech,J 13:35,4
102,Čech,1J 5:7,3
103,Čech,Mt 22:39,12
104,Čech,J 13:34,1
105,Čech,Tit 1:2,2
107,Čech,J 10:11,18
109,Čech,L 2:14,53
110,Čech,Sk 9:4,6
113,Čech,Gn 2:9,3
114,Čech,Ex 20:5,1
116,Čech,Sk 5:29,11
117,Čech,J 8:32,1
119,Čech,Mt 4:11,1
120,Čech,Mt 4:4,9
121,Čech,Mt 4:3,1
122,Čech,L 4:12,2
123,Čech,Mt 4:7,2
125,Čech,J 4:23,1
126,Čech,J 4:24,1
127,Čech,L 19:46,4
131,Čech,Z 143:3,2
133,Čech,Mt 11:28,22
135,Čech,2P 1:17,16
136,Čech,L 6:38,1
138,Čech,L 18:11,6
139,Čech,Nu 15:28,1
140,Čech,Mt 23:12,4
142,Čech,Mt 6:12,6
143,Čech,Mt 6:11/L 11:3,14
144,Čech,Ex 20:15/Dt 5:19,16
147,Čech,Z 127:1,9
149,Čech,Mk 16:16,7
150,Čech,Sk 13:44,1
154,Čech,Ef 6:2,11
155,Čech,J 1:14,8
156,Čech,Gn 3:19,12
157,Čech,Mt 22:21,7
158,Čech,Kaz 3:1,1
160,Čech,Mt 7:21,7
162,Čech,Pr 26:27,7
163,Čech,J 6:9,2
168,Čech,Mt 27:25,34
170,Čech,Mt 16:24,7
171,Čech,L 13:7,2
172,Čech,L 13:6,2
173,Čech,L 13:8,1
174,Čech,Mt 13:29,2
176,Čech,Mt 13:30,4
179,Čech,J 8:12,14
180,Čech,J 11:25,12
181,Čech,L 11:23,3
182,Čech,Mt 12:30,9
183,Čech,Mt 10:34,2
185,Čech,R 13:14,1
187,Čech,Mt 8:25,7
188,Čech,L 8:10,1
189,Čech,J 6:56,3
190,Čech,Mt 16:18,39
192,Čech,Mt 18:6,2
193,Čech,Mt 23:34,1
194,Čech,Mt 23:37,2
197,Čech,J 20:21,2
199,Čech,Jk 2:8,2
203,Čech,Mt 6:9,4
205,Čech,L 9:23,4
206,Čech,Mk 12:30,5
208,Čech,1K 13:1,2
210,Čech,2K 1:2/Fp 1:2/2Te 1:2/1K 1:3/Ef 1:2/Ga 1:3,6
212,Čech,Zj 14:13,4
213,Čech,L 1:42,2
214,Čech,1K 10:23,1
215,Čech,L 2:30,2
216,Čech,L 2:32,1
217,Čech,J 14:9,2
219,Čech,J 16:16,3
220,Čech,R 13:1,3
226,Čech,1K 13:2,3
227,Čech,Ef 4:4,1
228,Čech,L 11:17,5
232,Čech,Ga 2:20,5
233,Čech,Mk 16:17,3
238,Čech,J 11:34,1
242,Čech,L 24:26,6
243,Čech,Mt 11:29,12
245,Čech,Mk 10:23,5
246,Čech,Mt 11:3,7
248,Čech,J 1:29,7
249,Čech,Mk 15:34,5
250,Čech,Mt 27:46,5
251,Čech,Fp 4:16,1
252,Čech,Mt 18:7,4
253,Čech,L 10:16,10
255,Čech,Fp 1:10,1
256,Čech,Z 25:6,2
258,Čech,J 17:5,3
259,Čech,1K 15:20,7
262,Čech,Mt 12:45,4
263,Čech,Mt 6:10,18
264,Čech,Mk 2:5,6
266,Čech,Z 51:3,6
267,Čech,Z 50:3,8
269,Čech,Mt 28:19,8
277,Čech,J 2:4,4
281,Čech,1P 3:18,3
282,Čech,R 4:21,3
283,Čech,J 14:23,1
284,Čech,Da 3:26,1
287,Čech,L 3:6,3
290,Čech,J 13:1,4
293,Čech,L 16:29,1
294,Čech,Mt 13:25,5
300,Čech,Mt 9:18,2
303,Čech,Mk 10:9,3
305,Čech,Gn 3:5,4
306,Čech,J 14:6,23
307,Čech,Sk 13:6,1
309,Čech,Mt 19:17,3
311,Čech,Iz 42:3,1
312,Čech,Mt 12:20,1
313,Čech,J 13:15,5
314,Čech,Mt 16:13,1
317,Čech,Mt 6:24,9
318,Čech,Mt 7:14,2
319,Čech,2K 1:19,1
320,Čech,Mt 7:16,6
323,Čech,Pr 4:7,2
324,Čech,Mt 7:1,2
325,Čech,L 22:48,3
327,Čech,L 6:16,1
329,Čech,1Tm 2:4,8
330,Čech,J 3:15,9
332,Čech,R 2:6,5
333,Čech,L 17:22,2
335,Čech,J 19:11,3
336,Čech,Iz 61:9,2
339,Čech,Mt 6:13,4
340,Čech,1Te 5:9,2
343,Čech,L 22:19,6
345,Čech,L 6:19,3
346,Čech,J 8:46,5
358,Čech,Z 136:5,1
360,Čech,L 13:21,4
366,Čech,2S 14:5,1
368,Čech,J 14:16,2
372,Čech,Jr 2:13,5
376,Čech,Mk 10:48,5
377,Čech,Ef 4:25,1
379,Čech,Mt 19:19,9
