,year,Ex 20:13/Dt 5:17,Ex 20:2/Dt 5:6,Ex 20:5,Ex 20:15/Dt 5:19,Ex 20:12/Dt 5:16/Ef 6:2,Ex 20:3/Dt 5:7,Ex 20:14/Dt 5:18,Dt 5:21,Ex 20:16/Dt 5:20,Dt 5:9,Ex 20:8
0,1933,37,1,0,1,2,1,0,0,0,0,0
1,1929,28,1,1,5,4,0,3,2,1,0,0
2,1931,23,0,0,6,0,0,2,1,0,0,0
3,1930,20,0,0,3,7,1,1,0,0,0,0
4,1928,22,0,0,3,3,0,3,1,0,0,0
5,1926,23,0,0,3,6,0,0,2,0,0,0
6,1925,19,0,0,6,3,0,3,3,1,0,1
7,1927,27,0,2,7,2,0,3,0,0,2,1
8,1934,21,0,0,2,0,0,1,0,0,0,0
9,1932,23,0,0,1,2,0,0,0,0,0,0
10,1936,22,0,0,2,1,0,1,0,0,0,0
11,1937,10,0,0,2,0,0,0,0,0,0,0
12,1938,23,0,0,0,0,1,0,0,0,0,0
13,1935,17,0,1,2,2,0,0,0,0,1,0
14,1939,20,0,0,4,4,0,1,1,0,0,0
