,verse,initial results,filtered stop-subverses,filtered multiple attributions,"""sure"" citations"
0,Jr 37:9,17,0,0,0
1,Mt 5:33,5,3,0,0
2,Mt 5:38,87,82,80,0
3,Mt 5:43,25,20,1,1
4,1J 5:6,23,18,15,0
5,Nu 15:11,4299,0,0,0
6,Jb 3:2,1537,0,0,0
7,Jud 11:21,1,0,0,0
8,1S 16:19,1,1,1,0
9,2Kr 3:27,1,1,0,0
10,Sk 4:25,11,0,0,0
11,1S 14:40,285,0,0,0
12,Dt 6:17,35,0,0,0
13,Sk 2:24,116,1,1,1
14,Lv 22:20,2,2,2,0
15,Nu 30:17,50,0,0,0
16,Dt 19:21,79,78,0,0
17,Mt 28:19,31,10,10,0
18,L 18:13,24,24,22,0
19,2S 11:3,45,0,0,0
20,Mt 26:63,5,5,5,0
21,Mk 13:24,2,2,0,0
22,Mt 24:29,4,4,0,0
23,L 21:26,3,3,1,0
24,Mk 13:25,4,4,3,2
25,Mk 13:32,1,1,1,0
26,L 1:23,78,0,0,0
27,Mt 22:3,4,0,0,0
28,Est 6:4,58,8,8,0
29,J 1:27,3,3,2,0
30,L 3:16,3,3,0,0
31,J 1:29,19,19,16,0
32,J 1:36,8,8,3,0
33,Dt 8:3,16,16,0,0
34,L 4:4,35,35,15,0
35,Mt 4:4,33,33,28,3
36,L 3:4,61,61,41,0
37,Mk 1:3,62,62,60,0
38,Mt 3:3,61,61,1,0
39,J 1:1,34,34,33,8
40,1Tm 1:12,10,0,0,0
41,R 6:11,10,0,0,0
42,R 6:23,11,1,1,0
43,Fp 4:7,2,2,2,1
44,Gn 13:14,61,1,1,0
45,Jon 1:13,6,1,1,0
46,Jr 22:21,27,0,0,0
47,Mt 10:7,3,3,3,0
48,L 10:11,1,1,0,0
49,1Pa 27:25,3,0,0,0
50,Ex 21:7,37,0,0,0
51,R 13:11,13,13,13,0
52,J 16:13,4,1,0,0
53,Mt 28:20,38,36,26,3
54,Sk 8:11,33,0,0,0
55,Gn 24:35,6,0,0,0
56,Mt 5:3,28,28,27,5
57,Mt 5:10,18,18,1,0
58,Iz 55:8,1,1,1,0
59,Z 23:4,12,12,9,0
60,Jk 1:3,2,2,1,0
61,J 16:33,17,17,14,0
62,J 16:2,14,14,14,2
63,J 3:17,1,1,1,0
64,Mt 5:7,11,11,9,5
65,L 5:26,1,1,1,0
66,L 5:24,11,11,0,0
67,Mk 2:9,27,27,3,0
68,Mk 2:11,11,11,9,0
69,Mt 9:6,11,11,1,1
70,Mt 23:23,6,6,2,0
71,Ez 20:13,1,1,1,0
72,L 20:6,156,0,0,0
73,R 8:38,258,5,3,2
74,2Ma 11:20,4,0,0,0
75,Gn 2:23,1,1,1,0
76,Sk 19:4,1,1,1,1
77,Sk 19:2,6,6,2,0
78,Sk 8:19,4,4,2,0
79,Sk 19:6,7,7,7,0
80,Mk 15:27,1,1,0,0
81,L 23:33,3,1,0,0
82,Mt 27:38,7,7,5,0
83,Pr 19:17,4,4,4,0
84,Pl 1:19,5,0,0,0
85,1K 3:11,8,3,3,0
86,Am 8:12,2,2,2,0
87,Jr 9:25,2,2,2,0
88,Zd 8:8,2,2,0,0
89,Am 8:11,2,2,0,0
90,Am 8:14,1,1,0,0
91,Sk 13:22,5,2,2,0
92,1Kr 15:16,2,0,0,0
93,1Kr 15:32,2,0,0,0
94,J 10:16,30,30,30,3
95,J 3:16,19,19,5,1
96,Joz 4:15,360,0,0,0
97,Mou 16:25,45,0,0,0
98,L 10:23,9,9,9,0
99,1S 3:12,221,0,0,0
100,Est 1:19,7,0,0,0
101,1Ma 13:51,11,0,0,0
102,Mk 11:9,4,3,0,0
103,Mt 21:9,27,27,2,0
104,Mt 21:15,15,15,7,0
105,J 12:13,19,19,11,4
106,L 13:35,25,25,0,0
107,Mk 11:10,26,26,7,0
108,Mt 23:39,24,24,9,0
109,Zj 7:9,8,6,4,0
110,L 23:43,14,14,14,0
111,Fp 2:10,6,3,3,0
112,Nu 20:6,12,12,5,0
113,Z 118:19,2,2,1,0
114,Z 117:19,3,3,2,0
115,1K 7:21,146,0,0,0
116,L 9:22,2,2,1,0
117,Mk 9:30,15,15,5,0
118,L 24:7,7,7,4,0
119,Mt 17:2,3,3,1,0
120,Mt 17:3,1,1,1,0
121,Zj 1:16,3,3,2,0
122,Zj 10:1,3,3,0,0
