,year,Mt 5:38,Mt 3:3/J 1:23/Mk 1:3/L 3:4/Iz 40:3,L 2:14,Mt 11:28,Mt 6:11/L 11:3,Ex 20:15/Dt 5:19,Mt 16:18,Ex 20:13/Dt 5:17,L 20:25,Mt 20:16
0,1930,7,6,12,1,6,3,3,7,4,2
1,1933,13,4,11,2,7,1,2,5,1,6
2,1931,7,9,8,4,2,6,6,6,5,4
3,1928,5,6,8,11,0,3,2,6,5,2
4,1925,2,4,7,1,4,6,16,11,6,5
5,1929,8,5,4,2,4,5,3,16,1,1
6,1926,7,9,10,6,3,3,7,6,4,4
7,1932,7,1,9,1,3,1,1,7,0,4
8,1927,5,11,11,4,3,7,4,11,3,3
9,1934,2,0,4,2,3,2,0,11,2,6
10,1938,5,0,2,1,5,0,0,3,2,0
11,1935,5,3,2,1,3,2,1,6,2,3
12,1936,1,1,1,0,1,2,2,7,1,2
13,1937,4,1,5,2,6,2,2,2,2,2
14,1939,2,5,3,2,4,4,0,3,4,2
